ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0015979	photosynthesis	215	0.770147914150265	2.4883302472786246	4.3446966600319875e-28	8.958764512985959e-25	7.070422143588899e-25	1751	tags=46%, list=8%, signal=42%	AT3G16250/AT3G55330/AT4G05180/AT5G38410/AT5G64040/AT4G10340/AT3G04790/AT1G06680/AT5G52100/AT2G46820/AT4G21280/AT1G67090/AT1G15820/AT1G19150/AT3G01440/AT3G01500/AT1G42970/AT1G15980/AT2G30570/AT3G55800/AT5G66570/AT2G39470/AT1G70760/AT5G02120/AT4G03280/AT3G08940/AT2G40100/AT1G08380/AT5G44650/AT4G04640/AT3G01480/AT5G11450/AT3G12780/AT1G55480/AT3G54050/AT3G61470/AT1G18730/AT5G66190/AT3G26650/AT4G02530/AT1G05385/AT4G09650/AT1G55670/AT1G75690/AT1G54500/AT1G76450/AT2G28605/AT2G20890/AT4G01050/AT4G18370/AT4G15510/AT5G54270/AT4G33470/AT1G64770/AT3G49720/AT1G68890/AT4G22890/AT1G29930/AT3G17170/AT3G47470/AT3G62410/AT1G22700/AT2G47940/AT4G30720/AT1G03600/AT5G35220/AT5G08720/AT3G54890/AT1G60950/AT2G01590/AT5G39830/AT1G55370/AT1G61520/AT3G55250/AT1G79040/AT3G15095/AT1G78995/AT2G31040/AT2G34860/AT1G71500/AT3G15850/AT5G27390/AT4G19100/AT3G18680/AT1G32070/AT1G60600/AT4G04040/AT5G52520/AT1G14150/AT4G30950/AT1G64860/AT5G65810/AT1G01790/AT1G45474/AT5G28450/AT1G20950/AT5G57030/AT5G49740
GO:0019684	photosynthesis, light reaction	157	0.7934119125290546	2.4978396274447365	2.8414157540825762e-24	2.929499642459136e-21	2.3120151346377174e-21	1829	tags=50%, list=9%, signal=46%	AT3G16250/AT3G55330/AT4G05180/AT5G64040/AT4G10340/AT1G06680/AT5G52100/AT2G46820/AT4G21280/AT1G15820/AT1G19150/AT3G01440/AT1G15980/AT2G30570/AT5G66570/AT2G39470/AT1G70760/AT5G02120/AT4G03280/AT3G08940/AT2G40100/AT1G08380/AT5G44650/AT4G04640/AT3G01480/AT5G11450/AT1G55480/AT3G54050/AT3G61470/AT1G18730/AT5G66190/AT4G02530/AT1G05385/AT4G09650/AT1G55670/AT1G75690/AT1G54500/AT1G76450/AT2G28605/AT2G20890/AT4G01050/AT4G18370/AT4G15510/AT5G54270/AT4G33470/AT1G64770/AT1G68890/AT4G22890/AT1G29930/AT3G47470/AT1G22700/AT2G47940/AT1G03600/AT5G35220/AT5G08720/AT3G54890/AT1G60950/AT2G01590/AT5G39830/AT1G55370/AT1G61520/AT3G55250/AT1G79040/AT3G15095/AT1G78995/AT2G34860/AT1G71500/AT3G15850/AT4G19100/AT3G18680/AT1G32070/AT1G60600/AT1G14150/AT4G30950/AT1G45474/AT5G28450/AT5G57030/AT5G49740/AT5G01530
GO:0071456	cellular response to hypoxia	229	-0.6814553742985135	-2.389581216573646	6.557093254022943e-20	4.506908763265103e-17	3.55693549849806e-17	2954	tags=45%, list=14%, signal=39%	AT1G19250/AT1G73500/AT2G36800/AT1G61340/AT2G36580/AT3G18290/AT3G25250/AT5G57220/AT4G38470/AT3G56880/AT3G55980/AT3G43190/AT2G32200/AT1G73010/AT4G33070/AT5G66650/AT1G25550/AT1G25560/AT1G19020/AT3G23170/AT5G20150/AT3G23150/AT2G18670/AT4G32480/AT3G07350/AT4G22780/AT5G19550/AT1G21550/AT3G02040/AT1G69890/AT5G13190/AT4G34131/AT1G27730/AT2G26560/AT2G40000/AT4G19880/AT2G22500/AT5G42380/AT4G01360/AT4G13395/AT3G10020/AT1G09070/AT5G63130/AT1G26410/AT2G40140/AT1G33055/AT4G34150/AT5G58120/AT4G27450/AT1G13360/AT2G01180/AT5G25250/AT4G19520/AT1G15010/AT1G72900/AT4G29780/AT1G78850/AT1G30720/AT4G27470/AT5G26920/AT2G36220/AT2G33590/AT1G17290/AT5G45630/AT5G20230/AT1G57630/AT5G24530/AT1G26380/AT2G15890/AT4G17230/AT1G66090/AT3G08720/AT5G57560/AT1G23710/AT5G04340/AT4G24160/AT5G62520/AT3G04640/AT2G32210/AT4G24230/AT1G34370/AT5G24590/AT4G20860/AT4G26270/AT1G03610/AT1G68620/AT3G52800/AT2G46500/AT5G06320/AT5G59820/AT5G42050/AT1G10140/AT1G78070/AT5G65207/AT3G46080/AT1G03220/AT1G77120/AT1G07870/AT5G27420/AT1G01720/AT1G76600/AT5G63790/AT3G49780/AT5G20830
GO:0001666	response to hypoxia	256	-0.6621129239284351	-2.348825301795297	1.7017421599369288e-19	8.772480834474868e-17	6.923403629638138e-17	2954	tags=44%, list=14%, signal=38%	AT1G19250/AT1G73500/AT1G43850/AT2G36800/AT1G61340/AT2G36580/AT3G18290/AT3G25250/AT5G57220/AT4G38470/AT3G56880/AT3G55980/AT3G43190/AT2G32200/AT1G73010/AT4G33070/AT5G66650/AT1G25550/AT1G25560/AT1G19020/AT3G19760/AT3G23170/AT3G01090/AT5G20150/AT3G23150/AT2G18670/AT4G32480/AT3G07350/AT4G22780/AT5G19550/AT1G21550/AT3G02040/AT1G69890/AT5G13190/AT4G34131/AT4G20380/AT1G27730/AT4G19230/AT2G26560/AT2G40000/AT4G19880/AT2G22500/AT5G42380/AT4G01360/AT4G13395/AT3G10020/AT1G09070/AT5G63130/AT1G26410/AT2G40140/AT1G33055/AT1G64280/AT4G34150/AT5G58120/AT4G27450/AT1G13360/AT2G01180/AT5G25250/AT4G19520/AT1G15010/AT1G72900/AT4G29780/AT1G78850/AT1G30720/AT4G27470/AT5G26920/AT2G36220/AT2G33590/AT1G17290/AT5G45630/AT5G20230/AT4G27780/AT1G57630/AT5G24530/AT1G26380/AT2G15890/AT3G20770/AT4G17230/AT1G66090/AT3G08720/AT1G53910/AT5G57560/AT1G23710/AT5G04340/AT4G24160/AT5G62520/AT3G04640/AT2G32210/AT4G24230/AT1G34370/AT5G24590/AT4G20860/AT4G26270/AT1G03610/AT1G68620/AT3G52800/AT2G46500/AT5G06320/AT5G59820/AT5G42050/AT1G10140/AT1G78070/AT5G65207/AT3G46080/AT1G03220/AT1G77120/AT1G07870/AT5G27420/AT1G01720/AT1G76600/AT5G63790/AT3G49780/AT5G20830
GO:0036294	cellular response to decreased oxygen levels	231	-0.6731858380053171	-2.366275071211407	5.836244084504109e-19	2.005722550374579e-16	1.582953220112869e-16	2954	tags=45%, list=14%, signal=39%	AT1G19250/AT1G73500/AT2G36800/AT1G61340/AT2G36580/AT3G18290/AT3G25250/AT5G57220/AT4G38470/AT3G56880/AT3G55980/AT3G43190/AT2G32200/AT1G73010/AT4G33070/AT5G66650/AT1G25550/AT1G25560/AT1G19020/AT3G23170/AT5G20150/AT3G23150/AT2G18670/AT4G32480/AT3G07350/AT4G22780/AT5G19550/AT1G21550/AT3G02040/AT1G69890/AT5G13190/AT4G34131/AT1G27730/AT2G26560/AT2G40000/AT4G19880/AT2G22500/AT5G42380/AT4G01360/AT4G13395/AT3G10020/AT1G09070/AT5G63130/AT1G26410/AT2G40140/AT1G33055/AT4G34150/AT5G58120/AT4G27450/AT1G13360/AT2G01180/AT5G25250/AT4G19520/AT1G15010/AT1G72900/AT4G29780/AT1G78850/AT1G30720/AT4G27470/AT5G26920/AT2G36220/AT2G33590/AT1G17290/AT5G45630/AT5G20230/AT1G57630/AT5G24530/AT1G26380/AT2G15890/AT4G17230/AT1G66090/AT3G08720/AT5G57560/AT1G23710/AT5G04340/AT4G24160/AT5G62520/AT3G04640/AT2G32210/AT4G24230/AT1G34370/AT5G24590/AT4G20860/AT4G26270/AT1G03610/AT1G68620/AT3G52800/AT2G46500/AT5G06320/AT5G59820/AT5G42050/AT1G10140/AT1G78070/AT5G65207/AT3G46080/AT1G03220/AT1G77120/AT1G07870/AT5G27420/AT1G01720/AT1G76600/AT5G63790/AT3G49780/AT5G20830
GO:0071453	cellular response to oxygen levels	231	-0.6731858380053171	-2.366275071211407	5.836244084504109e-19	2.005722550374579e-16	1.582953220112869e-16	2954	tags=45%, list=14%, signal=39%	AT1G19250/AT1G73500/AT2G36800/AT1G61340/AT2G36580/AT3G18290/AT3G25250/AT5G57220/AT4G38470/AT3G56880/AT3G55980/AT3G43190/AT2G32200/AT1G73010/AT4G33070/AT5G66650/AT1G25550/AT1G25560/AT1G19020/AT3G23170/AT5G20150/AT3G23150/AT2G18670/AT4G32480/AT3G07350/AT4G22780/AT5G19550/AT1G21550/AT3G02040/AT1G69890/AT5G13190/AT4G34131/AT1G27730/AT2G26560/AT2G40000/AT4G19880/AT2G22500/AT5G42380/AT4G01360/AT4G13395/AT3G10020/AT1G09070/AT5G63130/AT1G26410/AT2G40140/AT1G33055/AT4G34150/AT5G58120/AT4G27450/AT1G13360/AT2G01180/AT5G25250/AT4G19520/AT1G15010/AT1G72900/AT4G29780/AT1G78850/AT1G30720/AT4G27470/AT5G26920/AT2G36220/AT2G33590/AT1G17290/AT5G45630/AT5G20230/AT1G57630/AT5G24530/AT1G26380/AT2G15890/AT4G17230/AT1G66090/AT3G08720/AT5G57560/AT1G23710/AT5G04340/AT4G24160/AT5G62520/AT3G04640/AT2G32210/AT4G24230/AT1G34370/AT5G24590/AT4G20860/AT4G26270/AT1G03610/AT1G68620/AT3G52800/AT2G46500/AT5G06320/AT5G59820/AT5G42050/AT1G10140/AT1G78070/AT5G65207/AT3G46080/AT1G03220/AT1G77120/AT1G07870/AT5G27420/AT1G01720/AT1G76600/AT5G63790/AT3G49780/AT5G20830
GO:0070482	response to oxygen levels	261	-0.6512690751836713	-2.321263567273788	7.146645761817595e-19	2.1051976515525543e-16	1.6614608041759404e-16	2954	tags=43%, list=14%, signal=38%	AT1G19250/AT1G73500/AT1G43850/AT2G36800/AT1G61340/AT2G36580/AT3G18290/AT3G25250/AT5G57220/AT4G38470/AT3G56880/AT3G55980/AT3G43190/AT2G32200/AT1G73010/AT4G33070/AT5G66650/AT1G25550/AT1G25560/AT1G19020/AT3G19760/AT3G23170/AT3G01090/AT5G20150/AT3G23150/AT2G18670/AT4G32480/AT3G07350/AT4G22780/AT5G19550/AT1G21550/AT3G02040/AT1G69890/AT5G13190/AT4G34131/AT4G20380/AT1G27730/AT4G19230/AT2G26560/AT2G40000/AT4G19880/AT2G22500/AT5G42380/AT4G01360/AT4G13395/AT3G10020/AT1G09070/AT5G63130/AT1G26410/AT2G40140/AT1G33055/AT1G64280/AT4G34150/AT5G58120/AT4G27450/AT1G13360/AT2G01180/AT5G25250/AT4G19520/AT1G15010/AT1G72900/AT4G29780/AT1G78850/AT1G30720/AT4G27470/AT5G26920/AT2G36220/AT2G33590/AT1G17290/AT5G45630/AT5G20230/AT4G27780/AT1G57630/AT5G24530/AT1G26380/AT2G15890/AT3G20770/AT4G17230/AT1G66090/AT3G08720/AT1G53910/AT5G57560/AT1G23710/AT5G04340/AT4G24160/AT5G62520/AT3G04640/AT2G32210/AT4G24230/AT1G34370/AT5G24590/AT4G20860/AT4G26270/AT1G03610/AT1G68620/AT3G52800/AT2G46500/AT5G06320/AT5G59820/AT5G42050/AT1G10140/AT1G78070/AT5G65207/AT3G46080/AT1G03220/AT1G77120/AT1G07870/AT5G27420/AT1G01720/AT1G76600/AT5G63790/AT3G49780/AT5G20830
GO:0036293	response to decreased oxygen levels	260	-0.6523379257727202	-2.3232656604523854	1.241303873278797e-18	3.199460733376099e-16	2.52507340538029e-16	2954	tags=43%, list=14%, signal=38%	AT1G19250/AT1G73500/AT1G43850/AT2G36800/AT1G61340/AT2G36580/AT3G18290/AT3G25250/AT5G57220/AT4G38470/AT3G56880/AT3G55980/AT3G43190/AT2G32200/AT1G73010/AT4G33070/AT5G66650/AT1G25550/AT1G25560/AT1G19020/AT3G19760/AT3G23170/AT3G01090/AT5G20150/AT3G23150/AT2G18670/AT4G32480/AT3G07350/AT4G22780/AT5G19550/AT1G21550/AT3G02040/AT1G69890/AT5G13190/AT4G34131/AT4G20380/AT1G27730/AT4G19230/AT2G26560/AT2G40000/AT4G19880/AT2G22500/AT5G42380/AT4G01360/AT4G13395/AT3G10020/AT1G09070/AT5G63130/AT1G26410/AT2G40140/AT1G33055/AT1G64280/AT4G34150/AT5G58120/AT4G27450/AT1G13360/AT2G01180/AT5G25250/AT4G19520/AT1G15010/AT1G72900/AT4G29780/AT1G78850/AT1G30720/AT4G27470/AT5G26920/AT2G36220/AT2G33590/AT1G17290/AT5G45630/AT5G20230/AT4G27780/AT1G57630/AT5G24530/AT1G26380/AT2G15890/AT3G20770/AT4G17230/AT1G66090/AT3G08720/AT1G53910/AT5G57560/AT1G23710/AT5G04340/AT4G24160/AT5G62520/AT3G04640/AT2G32210/AT4G24230/AT1G34370/AT5G24590/AT4G20860/AT4G26270/AT1G03610/AT1G68620/AT3G52800/AT2G46500/AT5G06320/AT5G59820/AT5G42050/AT1G10140/AT1G78070/AT5G65207/AT3G46080/AT1G03220/AT1G77120/AT1G07870/AT5G27420/AT1G01720/AT1G76600/AT5G63790/AT3G49780/AT5G20830
GO:0030163	protein catabolic process	499	-0.5316770298328573	-1.993278438581174	7.064229234082169e-17	1.6184934089641592e-14	1.2773448416246825e-14	3834	tags=32%, list=19%, signal=26%	AT5G18650/AT1G20200/AT5G51740/AT1G71980/AT1G33360/AT1G14570/AT4G24390/AT1G06210/AT4G15475/AT1G51590/AT2G40930/AT5G42790/AT4G27880/AT1G51710/AT5G01960/AT5G40580/AT4G38930/AT2G21270/AT5G01760/AT4G17410/AT5G67250/AT3G58040/AT3G22630/AT3G05530/AT3G07370/AT2G20580/AT1G64520/AT2G30950/AT3G17205/AT3G23280/AT2G45950/AT3G50080/AT3G53970/AT4G12570/AT5G15400/AT5G01450/AT4G32940/AT1G55860/AT4G05050/AT5G49930/AT3G53230/AT5G01980/AT4G14220/AT4G21560/AT3G18290/AT4G12040/AT5G03340/AT2G18915/AT4G33210/AT1G09850/AT3G60300/AT3G54130/AT5G50260/AT4G29040/AT1G76920/AT1G16890/AT2G31510/AT1G04810/AT5G53330/AT2G17190/AT5G38470/AT1G75950/AT3G02340/AT2G42030/AT4G34370/AT2G26990/AT4G38630/AT3G53120/AT3G08690/AT4G03020/AT3G13672/AT4G19700/AT3G27090/AT2G17200/AT5G49570/AT5G43190/AT5G27920/AT5G63640/AT1G23390/AT1G21380/AT1G65430/AT5G02310/AT4G34040/AT3G51770/AT1G21760/AT5G57360/AT3G61790/AT3G27430/AT5G01720/AT4G02740/AT4G32760/AT2G39940/AT2G47970/AT5G48655/AT1G32340/AT3G55070/AT1G76970/AT2G41790/AT5G20910/AT1G51350/AT4G21810/AT5G66810/AT1G18260/AT4G24820/AT1G09130/AT4G02890/AT1G12760/AT2G44410/AT4G15420/AT4G05320/AT1G53750/AT4G01610/AT1G19310/AT5G23540/AT4G27470/AT5G45360/AT5G20000/AT5G03240/AT5G02880/AT2G46030/AT2G38410/AT4G38600/AT5G04920/AT1G05890/AT4G03510/AT3G63000/AT5G67140/AT4G16190/AT5G53350/AT1G21410/AT3G09840/AT5G58290/AT4G25230/AT1G15130/AT1G09080/AT4G34100/AT3G13330/AT5G16880/AT2G30110/AT5G47430/AT5G62540/AT1G62710/AT5G60360/AT1G15740/AT5G25350/AT1G77000/AT5G56150/AT4G13250/AT2G36630/AT5G42050/AT4G22820/AT1G06430/AT4G39090/AT2G22010/AT5G22000/AT3G17000/AT5G01520/AT1G47128
GO:0051603	proteolysis involved in protein catabolic process	474	-0.5416246013980295	-2.021644715887924	2.3789723272255584e-16	4.905440938739101e-14	3.871464439884962e-14	3834	tags=36%, list=19%, signal=30%	AT4G29960/AT3G43750/AT2G25490/AT2G26780/AT1G13060/AT4G19670/AT3G21660/AT1G27840/AT2G22690/AT2G36680/AT1G55590/AT4G22150/AT5G25270/AT2G33340/AT3G61180/AT2G12550/AT4G10790/AT4G04860/AT5G18650/AT1G20200/AT5G51740/AT1G71980/AT1G33360/AT1G14570/AT4G24390/AT1G06210/AT4G15475/AT1G51590/AT2G40930/AT5G42790/AT4G27880/AT1G51710/AT5G01960/AT5G40580/AT4G38930/AT2G21270/AT5G01760/AT4G17410/AT5G67250/AT3G58040/AT3G22630/AT3G05530/AT3G07370/AT2G20580/AT1G64520/AT3G17205/AT3G23280/AT2G45950/AT3G50080/AT3G53970/AT4G12570/AT5G15400/AT5G01450/AT4G32940/AT1G55860/AT4G05050/AT5G49930/AT3G53230/AT5G01980/AT4G14220/AT4G21560/AT3G18290/AT4G12040/AT5G03340/AT2G18915/AT4G33210/AT1G09850/AT3G60300/AT3G54130/AT5G50260/AT4G29040/AT1G76920/AT1G16890/AT2G31510/AT1G04810/AT5G53330/AT2G17190/AT5G38470/AT1G75950/AT3G02340/AT2G42030/AT4G34370/AT4G38630/AT3G53120/AT3G08690/AT4G03020/AT3G13672/AT4G19700/AT2G17200/AT5G43190/AT5G27920/AT5G63640/AT1G23390/AT1G21380/AT1G65430/AT5G02310/AT4G34040/AT3G51770/AT1G21760/AT5G57360/AT3G61790/AT3G27430/AT5G01720/AT4G02740/AT4G32760/AT2G39940/AT2G47970/AT5G48655/AT1G32340/AT3G55070/AT1G76970/AT2G41790/AT5G20910/AT1G51350/AT4G21810/AT5G66810/AT1G18260/AT4G24820/AT1G09130/AT4G02890/AT1G12760/AT2G44410/AT4G15420/AT4G05320/AT1G53750/AT4G01610/AT1G19310/AT5G23540/AT4G27470/AT5G45360/AT5G20000/AT5G03240/AT5G02880/AT2G46030/AT2G38410/AT4G38600/AT5G04920/AT1G05890/AT4G03510/AT3G63000/AT5G67140/AT4G16190/AT5G53350/AT1G21410/AT3G09840/AT5G58290/AT4G25230/AT1G15130/AT1G09080/AT4G34100/AT3G13330/AT5G16880/AT2G30110/AT5G47430/AT5G62540/AT1G62710/AT5G60360/AT1G15740/AT5G25350/AT1G77000/AT5G56150/AT2G36630/AT4G22820/AT4G39090/AT2G22010/AT5G22000/AT3G17000/AT5G01520/AT1G47128
GO:0006511	ubiquitin-dependent protein catabolic process	370	-0.567055482742747	-2.0792211952534467	1.2234965855384132e-15	2.2934999630729164e-13	1.8100724605190307e-13	3834	tags=34%, list=19%, signal=28%	AT5G18650/AT1G20200/AT1G71980/AT1G14570/AT4G24390/AT1G06210/AT4G15475/AT2G40930/AT5G42790/AT4G27880/AT1G51710/AT5G40580/AT2G21270/AT5G01760/AT4G17410/AT5G67250/AT3G58040/AT3G22630/AT3G05530/AT3G07370/AT2G20580/AT1G64520/AT3G17205/AT3G23280/AT2G45950/AT3G50080/AT3G53970/AT4G12570/AT5G15400/AT5G01450/AT1G55860/AT4G05050/AT5G49930/AT3G53230/AT5G01980/AT4G21560/AT3G18290/AT4G12040/AT5G03340/AT2G18915/AT4G33210/AT3G60300/AT3G54130/AT4G29040/AT1G76920/AT1G16890/AT2G31510/AT1G04810/AT5G53330/AT2G17190/AT5G38470/AT1G75950/AT3G02340/AT2G42030/AT4G34370/AT4G38630/AT3G53120/AT3G08690/AT4G03020/AT3G13672/AT4G19700/AT2G17200/AT5G43190/AT5G27920/AT5G63640/AT1G23390/AT1G21380/AT1G65430/AT5G02310/AT4G34040/AT3G51770/AT1G21760/AT5G57360/AT3G61790/AT3G27430/AT5G01720/AT4G02740/AT4G32760/AT2G39940/AT2G47970/AT5G48655/AT1G32340/AT3G55070/AT1G76970/AT5G20910/AT1G51350/AT5G66810/AT4G24820/AT4G02890/AT1G12760/AT2G44410/AT1G53750/AT1G19310/AT5G23540/AT4G27470/AT5G45360/AT5G20000/AT5G03240/AT5G02880/AT2G46030/AT2G38410/AT4G38600/AT5G04920/AT1G05890/AT4G03510/AT3G63000/AT5G67140/AT1G21410/AT3G09840/AT5G58290/AT4G25230/AT1G15130/AT5G16880/AT2G30110/AT5G47430/AT5G62540/AT1G15740/AT5G25350/AT1G77000/AT5G56150/AT2G36630/AT4G22820/AT2G22010/AT3G17000/AT5G01520
GO:0043632	modification-dependent macromolecule catabolic process	380	-0.5563306031579434	-2.039118435864426	1.0567827666699344e-14	1.8159050540611707e-12	1.4331457519927356e-12	3747	tags=33%, list=18%, signal=28%	AT5G18650/AT1G20200/AT1G71980/AT1G14570/AT4G24390/AT1G06210/AT4G15475/AT2G40930/AT5G42790/AT4G27880/AT1G51710/AT5G40580/AT2G21270/AT5G01760/AT4G17410/AT5G67250/AT3G58040/AT3G22630/AT3G05530/AT3G07370/AT2G20580/AT1G64520/AT3G17205/AT3G23280/AT2G45950/AT3G50080/AT3G53970/AT4G12570/AT5G15400/AT5G01450/AT1G55860/AT4G05050/AT5G49930/AT3G53230/AT5G01980/AT4G21560/AT3G18290/AT4G12040/AT5G03340/AT2G18915/AT4G33210/AT3G60300/AT3G54130/AT4G29040/AT1G76920/AT1G16890/AT2G31510/AT1G04810/AT5G53330/AT2G17190/AT5G38470/AT1G75950/AT3G02340/AT2G42030/AT4G34370/AT4G38630/AT3G53120/AT3G08690/AT4G03020/AT3G13672/AT4G19700/AT2G17200/AT5G43190/AT5G27920/AT5G63640/AT1G23390/AT1G21380/AT1G65430/AT5G02310/AT4G34040/AT3G51770/AT1G21760/AT5G57360/AT3G61790/AT3G27430/AT5G01720/AT4G02740/AT4G32760/AT2G39940/AT2G47970/AT5G48655/AT1G32340/AT3G55070/AT1G76970/AT5G20910/AT1G51350/AT5G66810/AT4G24820/AT4G02890/AT1G12760/AT2G44410/AT4G05320/AT1G53750/AT1G19310/AT5G23540/AT4G27470/AT5G45360/AT5G20000/AT5G03240/AT5G02880/AT2G46030/AT2G38410/AT4G38600/AT5G04920/AT1G05890/AT4G03510/AT3G63000/AT5G67140/AT1G21410/AT3G09840/AT5G58290/AT4G25230/AT1G15130/AT5G16880/AT2G30110/AT5G47430/AT5G62540/AT1G15740/AT5G25350/AT1G77000/AT5G56150/AT2G36630/AT4G22820/AT2G22010/AT3G17000/AT5G01520
GO:0019941	modification-dependent protein catabolic process	377	-0.5573676335099854	-2.0426923256567173	1.2724772434275396e-14	2.018344673805836e-12	1.5929148326631388e-12	3747	tags=33%, list=18%, signal=28%	AT5G18650/AT1G20200/AT1G71980/AT1G14570/AT4G24390/AT1G06210/AT4G15475/AT2G40930/AT5G42790/AT4G27880/AT1G51710/AT5G40580/AT2G21270/AT5G01760/AT4G17410/AT5G67250/AT3G58040/AT3G22630/AT3G05530/AT3G07370/AT2G20580/AT1G64520/AT3G17205/AT3G23280/AT2G45950/AT3G50080/AT3G53970/AT4G12570/AT5G15400/AT5G01450/AT1G55860/AT4G05050/AT5G49930/AT3G53230/AT5G01980/AT4G21560/AT3G18290/AT4G12040/AT5G03340/AT2G18915/AT4G33210/AT3G60300/AT3G54130/AT4G29040/AT1G76920/AT1G16890/AT2G31510/AT1G04810/AT5G53330/AT2G17190/AT5G38470/AT1G75950/AT3G02340/AT2G42030/AT4G34370/AT4G38630/AT3G53120/AT3G08690/AT4G03020/AT3G13672/AT4G19700/AT2G17200/AT5G43190/AT5G27920/AT5G63640/AT1G23390/AT1G21380/AT1G65430/AT5G02310/AT4G34040/AT3G51770/AT1G21760/AT5G57360/AT3G61790/AT3G27430/AT5G01720/AT4G02740/AT4G32760/AT2G39940/AT2G47970/AT5G48655/AT1G32340/AT3G55070/AT1G76970/AT5G20910/AT1G51350/AT5G66810/AT4G24820/AT4G02890/AT1G12760/AT2G44410/AT4G05320/AT1G53750/AT1G19310/AT5G23540/AT4G27470/AT5G45360/AT5G20000/AT5G03240/AT5G02880/AT2G46030/AT2G38410/AT4G38600/AT5G04920/AT1G05890/AT4G03510/AT3G63000/AT5G67140/AT1G21410/AT3G09840/AT5G58290/AT4G25230/AT1G15130/AT5G16880/AT2G30110/AT5G47430/AT5G62540/AT1G15740/AT5G25350/AT1G77000/AT5G56150/AT2G36630/AT4G22820/AT2G22010/AT3G17000/AT5G01520
GO:0016192	vesicle-mediated transport	496	-0.512971573816155	-1.9202848447473309	2.2992717130289736e-14	3.3864987659041025e-12	2.6726872694306717e-12	4437	tags=40%, list=22%, signal=32%	AT3G55600/AT4G29658/AT5G58430/AT3G22845/AT4G36490/AT2G40060/AT2G25760/AT1G03050/AT1G26670/AT3G24840/AT5G01430/AT4G30240/AT5G17190/AT2G38020/AT3G18480/AT5G42080/AT1G21170/AT5G64990/AT5G61010/AT5G13860/AT4G32150/AT5G12350/AT1G03950/AT5G57015/AT1G13980/AT3G59920/AT1G06400/AT2G36900/AT3G07680/AT1G47550/AT3G47700/AT3G09530/AT5G05710/AT2G19790/AT3G13870/AT1G09180/AT1G06210/AT3G61450/AT1G30630/AT1G77140/AT1G04260/AT5G12210/AT1G10290/AT4G25940/AT5G01640/AT3G27530/AT3G28430/AT5G01760/AT3G11397/AT1G60780/AT3G54300/AT3G15060/AT1G05520/AT1G03900/AT1G75850/AT3G54860/AT5G16300/AT4G28860/AT1G19650/AT1G15880/AT5G22360/AT3G60190/AT2G17980/AT3G61570/AT3G01340/AT1G79590/AT1G48440/AT5G06140/AT2G19830/AT1G20760/AT5G46860/AT1G77220/AT4G28880/AT4G17170/AT5G18525/AT4G26100/AT3G17780/AT5G05380/AT3G47810/AT4G32285/AT2G38360/AT4G02350/AT1G47560/AT4G21560/AT2G01920/AT1G75370/AT3G10380/AT4G36630/AT2G29700/AT2G21520/AT2G19950/AT2G20990/AT3G59290/AT4G22970/AT5G05190/AT3G19770/AT4G12770/AT5G63880/AT1G24560/AT4G38360/AT1G11890/AT5G44100/AT3G05710/AT3G52400/AT5G56160/AT1G12470/AT5G05987/AT1G48760/AT5G61210/AT2G06530/AT3G13670/AT1G23900/AT3G15980/AT1G59610/AT2G39805/AT2G32900/AT4G16144/AT1G04440/AT1G72710/AT1G24460/AT5G02040/AT4G11380/AT2G44100/AT5G04850/AT3G61710/AT4G02080/AT3G13720/AT3G56190/AT3G63460/AT2G23310/AT1G08770/AT5G63640/AT4G30260/AT4G39890/AT1G21380/AT5G50380/AT3G46060/AT4G04910/AT5G47200/AT2G17790/AT2G43160/AT4G12780/AT4G32760/AT4G14340/AT1G21660/AT1G16240/AT3G12400/AT1G20110/AT5G59840/AT4G16670/AT5G49830/AT1G08190/AT1G21630/AT2G28390/AT1G73030/AT1G21900/AT1G76970/AT4G17530/AT1G70490/AT3G06540/AT4G29160/AT3G14090/AT5G58060/AT1G59820/AT1G18830/AT2G20760/AT1G12360/AT1G77890/AT3G07100/AT5G25250/AT4G19640/AT1G48790/AT4G11740/AT2G01470/AT2G01600/AT3G51890/AT2G38410/AT3G10640/AT4G12120/AT2G33120/AT1G07000/AT4G14950/AT5G04920/AT3G44340/AT5G35200/AT1G34220/AT5G16830/AT4G26750/AT1G15130/AT3G11820/AT3G09520/AT4G35860/AT2G45980/AT5G16880/AT4G29380/AT3G05630/AT3G52850/AT2G23810/AT4G29950
