ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0015979	photosynthesis	215	-0.8609280978223376	-2.430330637248712	1.6737918885566746e-36	3.451358874203863e-33	2.9899208788217652e-33	1539	tags=54%, list=7%, signal=50%	AT3G11670/AT2G04700/AT2G28605/AT3G49720/AT5G35220/AT4G27600/AT1G64150/AT5G23120/AT1G55370/AT1G60600/AT4G18370/AT5G27390/AT5G50950/AT1G32070/AT3G27690/AT3G55250/AT1G68890/AT1G68830/AT4G04040/AT1G11750/AT5G28450/AT1G22700/AT1G34000/AT3G27925/AT1G54500/AT3G56010/AT1G29910/AT2G05620/AT3G01440/AT1G18730/AT5G39830/AT1G29920/AT1G50250/AT2G47940/AT5G52520/AT5G49740/AT1G14150/AT5G57030/AT1G20950/AT2G40100/AT5G44650/AT5G42270/AT3G12780/AT1G54780/AT3G56650/AT4G15510/AT5G11450/AT2G20890/AT4G30950/AT1G70760/AT4G35250/AT3G15850/AT2G39470/AT4G33470/AT1G71500/AT5G01530/AT5G52100/AT5G08720/AT3G16250/AT1G76450/AT1G45474/AT1G60950/AT3G62410/AT2G01590/AT1G67740/AT5G66190/AT3G01500/AT1G79040/AT1G01790/AT1G19150/AT4G02530/AT3G50820/AT1G75690/AT1G42970/AT4G04850/AT1G55670/AT3G01480/AT4G09650/AT1G64770/AT3G55800/AT1G03600/AT4G01050/AT1G16720/AT1G64860/AT4G03280/AT1G29930/AT5G38410/AT4G04640/AT2G34420/AT3G61470/AT1G08380/AT1G15820/AT1G06680/AT1G61520/AT1G15980/AT1G55480/AT1G67090/AT5G54270/AT5G66570/AT5G64040/AT5G02120/AT3G54890/AT3G26650/AT3G54050/AT3G47470/AT3G55330/AT3G04790/AT3G08940/AT2G05100/AT2G30570/AT2G05070/AT2G46820/AT4G05180/AT4G10340/AT4G22890/AT4G21280
GO:0019684	photosynthesis, light reaction	157	-0.8764112885361083	-2.395536992558676	2.2941801179369682e-29	2.3652997015930143e-26	2.0490650842837028e-26	1363	tags=59%, list=7%, signal=56%	AT5G35220/AT1G64150/AT5G23120/AT1G55370/AT1G60600/AT4G18370/AT1G32070/AT3G27690/AT3G55250/AT1G68890/AT1G68830/AT5G28450/AT1G22700/AT1G34000/AT3G27925/AT1G54500/AT3G56010/AT1G29910/AT2G05620/AT3G01440/AT1G18730/AT5G39830/AT1G29920/AT1G50250/AT2G47940/AT5G49740/AT1G14150/AT5G57030/AT2G40100/AT5G44650/AT5G42270/AT1G54780/AT3G56650/AT4G15510/AT5G11450/AT2G20890/AT4G30950/AT1G70760/AT4G35250/AT3G15850/AT2G39470/AT4G33470/AT1G71500/AT5G01530/AT5G52100/AT5G08720/AT3G16250/AT1G76450/AT1G45474/AT1G60950/AT2G01590/AT1G67740/AT5G66190/AT1G79040/AT1G19150/AT4G02530/AT3G50820/AT1G75690/AT1G55670/AT3G01480/AT4G09650/AT1G64770/AT1G03600/AT4G01050/AT1G16720/AT4G03280/AT1G29930/AT4G04640/AT2G34420/AT3G61470/AT1G08380/AT1G15820/AT1G06680/AT1G61520/AT1G15980/AT1G55480/AT5G54270/AT5G66570/AT5G64040/AT5G02120/AT3G54890/AT3G54050/AT3G47470/AT3G55330/AT3G08940/AT2G05100/AT2G30570/AT2G05070/AT2G46820/AT4G05180/AT4G10340/AT4G22890/AT4G21280
GO:0009657	plastid organization	301	-0.7112612355174293	-2.068908534584982	2.017962261066918e-17	1.3870127274399951e-14	1.2015726165019508e-14	3241	tags=45%, list=16%, signal=39%	AT5G14100/AT2G26840/AT2G40480/AT3G27750/AT3G04340/AT2G32480/AT5G62430/AT3G62910/AT5G24660/AT3G10420/AT1G11870/AT1G50840/AT2G18710/AT2G31040/AT2G04270/AT5G23730/AT1G30610/AT3G13190/AT4G01800/AT1G31410/AT5G42480/AT3G58830/AT4G25910/AT3G24506/AT4G35780/AT3G24590/AT4G31850/AT4G16390/AT5G46290/AT3G48870/AT5G53860/AT5G38150/AT5G36170/AT3G51720/AT5G19620/AT5G53280/AT5G55580/AT1G70200/AT1G32500/AT3G46630/AT4G20130/AT5G13770/AT3G46740/AT3G08010/AT3G53890/AT2G34860/AT4G14870/AT3G19570/AT2G30950/AT4G38160/AT1G42550/AT5G56860/AT4G34740/AT4G23940/AT2G45770/AT5G58770/AT3G23400/AT3G45780/AT4G26150/AT1G12410/AT5G26742/AT1G08540/AT2G28000/AT4G13670/AT5G35220/AT5G42310/AT2G01110/AT4G37650/AT1G03160/AT5G23120/AT2G30170/AT5G22640/AT4G09620/AT2G36000/AT1G49510/AT1G32070/AT5G12130/AT5G55280/AT5G24314/AT1G71720/AT1G56190/AT1G11750/AT4G01150/AT2G24060/AT4G28740/AT2G21280/AT5G45390/AT5G21920/AT5G10470/AT2G07050/AT1G64500/AT5G54600/AT3G52750/AT1G66840/AT3G29185/AT4G34090/AT2G47940/AT1G79850/AT3G19720/AT1G62750/AT5G61670/AT5G44650/AT5G44190/AT5G58140/AT2G30520/AT3G63190/AT3G17040/AT3G12780/AT2G28800/AT2G20890/AT2G33800/AT1G68590/AT1G65260/AT2G38140/AT1G74730/AT3G25690/AT1G75100/AT2G20570/AT2G34620/AT5G67385/AT1G50900/AT3G56290/AT3G63140/AT1G01790/AT1G35680/AT4G04850/AT5G08050/AT1G44000/AT1G09340/AT1G44575/AT1G32080/AT3G02380/AT3G56940/AT3G56910/AT2G46820/AT4G20360
GO:0006091	generation of precursor metabolites and energy	390	-0.6673778125677682	-1.9818080290187399	2.9941751776064975e-16	1.5434973040561494e-13	1.3371355990521646e-13	1309	tags=29%, list=6%, signal=28%	AT1G64150/AT5G23120/AT1G55370/AT1G60600/AT4G18370/AT1G34430/AT5G50950/AT1G32070/AT3G27690/AT3G55250/AT1G68890/AT2G42600/AT5G44520/AT1G68830/AT1G56190/AT5G28450/AT3G25860/AT5G61410/AT1G22700/AT1G34000/AT3G27925/AT1G32550/AT1G54500/AT4G14890/AT3G56010/AT1G29910/AT2G05620/AT3G01440/AT1G18730/AT5G39830/AT1G29920/AT5G52920/AT1G50250/AT2G47940/AT1G32440/AT1G10960/AT1G20020/AT5G49740/AT1G14150/AT5G35790/AT5G57030/AT2G40100/AT5G44650/AT5G42270/AT3G60750/AT4G38680/AT3G12780/AT1G54780/AT3G56650/AT4G15510/AT5G11450/AT2G20890/AT4G30950/AT1G70760/AT4G35250/AT3G15850/AT2G39470/AT4G33470/AT1G71500/AT5G01530/AT5G52100/AT5G08720/AT3G16250/AT1G76450/AT1G45474/AT1G60950/AT2G01590/AT1G67740/AT5G66190/AT1G79040/AT1G19150/AT4G02530/AT3G50820/AT1G75690/AT1G55670/AT3G01480/AT4G09650/AT1G64770/AT1G03600/AT4G01050/AT4G26530/AT1G16720/AT4G03280/AT1G29930/AT4G04640/AT4G38970/AT2G34420/AT3G61470/AT1G08380/AT1G15820/AT1G06680/AT1G61520/AT1G15980/AT1G55480/AT5G54270/AT5G66570/AT5G19220/AT5G64040/AT5G02120/AT3G54890/AT3G54050/AT3G47470/AT3G55330/AT3G04790/AT3G08940/AT2G05100/AT2G30570/AT2G05070/AT2G46820/AT2G21330/AT4G05180/AT4G10340/AT4G22890/AT4G21280
GO:0009658	chloroplast organization	233	-0.7162014168518809	-2.042290723049167	1.8766734817351516e-14	7.739401438675764e-12	6.704662944220109e-12	3241	tags=42%, list=16%, signal=36%	AT5G14100/AT2G26840/AT2G40480/AT3G27750/AT3G04340/AT2G32480/AT5G62430/AT3G62910/AT5G24660/AT1G11870/AT2G31040/AT2G04270/AT5G23730/AT1G30610/AT3G13190/AT4G01800/AT5G42480/AT3G58830/AT4G25910/AT4G35780/AT4G16390/AT5G46290/AT3G48870/AT5G38150/AT3G51720/AT5G19620/AT5G53280/AT5G55580/AT3G46630/AT4G20130/AT5G13770/AT3G46740/AT3G08010/AT3G53890/AT3G19570/AT2G30950/AT4G38160/AT1G42550/AT5G56860/AT4G34740/AT4G23940/AT3G23400/AT3G45780/AT4G26150/AT1G12410/AT5G26742/AT1G08540/AT2G28000/AT4G13670/AT5G35220/AT5G42310/AT5G22640/AT4G09620/AT2G36000/AT1G49510/AT5G55280/AT5G24314/AT1G11750/AT4G01150/AT2G24060/AT4G28740/AT2G21280/AT5G45390/AT5G21920/AT5G10470/AT1G64500/AT3G52750/AT1G66840/AT3G29185/AT4G34090/AT2G47940/AT3G19720/AT1G62750/AT5G61670/AT5G44650/AT5G44190/AT5G58140/AT2G30520/AT3G63190/AT1G74730/AT3G25690/AT1G75100/AT2G20570/AT2G34620/AT5G67385/AT1G50900/AT3G56290/AT3G63140/AT1G01790/AT1G35680/AT4G04850/AT5G08050/AT1G44000/AT1G09340/AT1G32080/AT3G02380/AT3G56940/AT2G46820/AT4G20360
GO:0009765	photosynthesis, light harvesting	43	-0.9199245653451805	-2.1409481282739966	4.155619549215134e-12	1.428147918413601e-9	1.2372081359680844e-9	1199	tags=74%, list=6%, signal=70%	AT4G18370/AT3G27690/AT5G28450/AT3G27925/AT1G29910/AT5G39830/AT1G29920/AT1G50250/AT2G47940/AT5G57030/AT2G40100/AT1G54780/AT5G01530/AT1G45474/AT1G19150/AT4G02530/AT1G75690/AT1G03600/AT1G29930/AT2G34420/AT3G61470/AT1G08380/AT1G15820/AT1G61520/AT1G55480/AT5G54270/AT3G54890/AT3G47470/AT3G08940/AT2G05100/AT2G05070/AT4G10340
GO:0009767	photosynthetic electron transport chain	55	-0.8734376184140377	-2.0989966458536777	5.51374075345532e-11	1.6241904905178384e-8	1.4070403095659665e-8	755	tags=55%, list=4%, signal=53%	AT2G05620/AT3G01440/AT1G18730/AT5G49740/AT1G14150/AT5G42270/AT4G30950/AT1G70760/AT3G15850/AT3G16250/AT1G60950/AT2G01590/AT1G67740/AT5G66190/AT3G50820/AT1G55670/AT4G09650/AT1G64770/AT4G01050/AT4G03280/AT4G04640/AT1G08380/AT1G15980/AT5G66570/AT5G64040/AT3G54050/AT2G46820/AT4G05180/AT4G22890/AT4G21280
GO:0009644	response to high light intensity	67	-0.8306899514398212	-2.0322833998536285	1.0096675455150033e-9	2.602418098564921e-7	2.2544813483407374e-7	1136	tags=42%, list=6%, signal=40%	AT1G32070/AT3G27690/AT4G26555/AT2G39460/AT4G14890/AT3G55280/AT2G05620/AT5G42270/AT5G64940/AT4G30950/AT3G15850/AT1G45474/AT1G67740/AT3G18780/AT3G50820/AT4G34190/AT4G04850/AT2G47450/AT3G61470/AT1G61520/AT1G55480/AT5G54270/AT5G66570/AT5G02120/AT3G54890/AT3G47470/AT2G05100/AT2G05070
GO:0051603	proteolysis involved in protein catabolic process	474	0.5109600125650267	1.692492189059262	2.596777008639705e-9	5.949504657572302e-7	5.154070858083719e-7	3782	tags=27%, list=18%, signal=23%	AT4G39090/AT3G60300/AT1G77000/AT4G01610/AT5G60360/AT1G09850/AT1G47128/AT4G16190/AT1G62710/AT5G03240/AT5G56150/AT5G50260/AT5G58290/AT3G53230/AT5G47430/AT1G19310/AT1G15130/AT4G03510/AT1G05890/AT1G68050/AT1G02300/AT4G22820/AT4G15420/AT4G02740/AT4G19700/AT5G01520/AT5G20000/AT3G53970/AT1G32340/AT2G36630/AT5G43060/AT5G03340/AT5G63640/AT3G63000/AT1G21410/AT3G17000/AT4G25230/AT5G25350/AT5G01720/AT5G22000/AT5G62540/AT2G22690/AT5G20910/AT1G65430/AT5G14250/AT3G08690/AT3G13672/AT4G29040/AT5G53350/AT2G02760/AT2G38410/AT4G32670/AT5G45360/AT1G04810/AT3G24760/AT4G34370/AT2G31510/AT3G24800/AT5G20620/AT2G33340/AT3G23280/AT2G12550/AT1G18260/AT3G19390/AT5G09630/AT4G24390/AT4G34100/AT1G76920/AT3G11270/AT5G63750/AT5G53360/AT2G25740/AT2G25940/AT4G04180/AT5G25560/AT1G33360/AT4G12570/AT2G47970/AT3G50080/AT3G11240/AT5G65000/AT5G40580/AT3G05870/AT4G24820/AT5G59140/AT5G51740/AT5G25270/AT5G63910/AT5G23540/AT3G54130/AT4G17410/AT4G22150/AT1G55860/AT4G12040/AT5G05700/AT4G30940/AT5G56280/AT5G60250/AT5G50430/AT2G05840/AT4G14220/AT3G27430/AT2G29070/AT3G09840/AT1G21760/AT5G51450/AT2G35635/AT4G38630/AT1G06210/AT3G61790/AT4G05320/AT1G20140/AT3G55380/AT5G63760/AT4G14800/AT4G28470/AT3G20210/AT1G09100/AT4G04860/AT3G22630/AT1G02305/AT2G06040/AT3G43750/AT5G02880/AT1G50670/AT4G09300/AT5G01760/AT3G55070/AT2G21430
GO:0071456	cellular response to hypoxia	229	0.6129082360163609	1.9109727965076642	4.644564547257265e-9	9.577092096444479e-7	8.296658985995346e-7	3163	tags=38%, list=15%, signal=33%	AT1G77120/AT5G54960/AT1G03220/AT3G46230/AT5G20830/AT4G34131/AT2G36800/AT2G15890/AT1G72900/AT1G01720/AT4G26270/AT3G49780/AT5G63790/AT3G10020/AT5G20230/AT2G36460/AT1G76600/AT3G46080/AT4G30280/AT5G05410/AT4G20860/AT3G03270/AT3G08720/AT1G26380/AT3G25250/AT5G63130/AT5G66650/AT5G59820/AT2G36220/AT5G62520/AT4G24230/AT1G34370/AT5G04340/AT2G32210/AT1G68620/AT5G12030/AT4G10250/AT4G17230/AT5G20250/AT3G23150/AT4G24160/AT5G42050/AT5G06320/AT5G47060/AT5G57510/AT2G46500/AT1G13360/AT1G07870/AT1G73010/AT1G69890/AT2G33590/AT1G10140/AT1G23710/AT3G02040/AT2G40140/AT5G12020/AT1G21550/AT5G27420/AT1G17290/AT4G32480/AT1G26410/AT5G20150/AT1G61340/AT5G35735/AT3G24500/AT1G55810/AT2G22500/AT1G07400/AT5G24590/AT3G04640/AT4G01360/AT3G52800/AT4G24110/AT5G03380/AT5G45630/AT1G27730/AT2G01180/AT3G23170/AT5G64905/AT5G19550/AT5G42380/AT1G78070/AT1G33055/AT1G19250/AT4G13395/AT5G54940/AT1G14540/AT1G30720
GO:0016192	vesicle-mediated transport	496	0.4908245547398959	1.6197685825457564	1.2142894342056924e-8	2.2762407393928526e-6	1.9719130811933586e-6	5004	tags=38%, list=24%, signal=29%	AT3G05630/AT1G18830/AT3G52850/AT5G18525/AT3G09520/AT5G63880/AT5G46860/AT2G25760/AT1G15130/AT3G62290/AT3G44340/AT2G01470/AT2G23810/AT4G16670/AT4G22970/AT2G39805/AT4G15780/AT2G17790/AT4G32150/AT4G29950/AT4G26750/AT5G63640/AT1G12470/AT1G75850/AT1G08770/AT3G61450/AT4G35860/AT3G56190/AT5G04850/AT4G04910/AT1G09180/AT4G14950/AT3G07100/AT1G73030/AT1G05520/AT4G29380/AT5G17190/AT1G34220/AT2G38410/AT3G10640/AT4G12780/AT2G19240/AT4G30240/AT5G12210/AT1G48760/AT1G03050/AT1G77890/AT1G59820/AT2G23310/AT2G19950/AT5G43670/AT3G13670/AT1G20110/AT1G04440/AT2G45980/AT4G14340/AT4G19640/AT4G12770/AT5G47200/AT3G59290/AT2G36900/AT1G72710/AT1G26670/AT5G59840/AT4G16144/AT2G32900/AT3G17780/AT4G02350/AT5G35200/AT2G19790/AT1G59610/AT2G32670/AT2G28390/AT1G31780/AT3G54860/AT5G44100/AT2G38360/AT1G60970/AT5G13860/AT3G06540/AT1G47560/AT3G10380/AT3G27530/AT1G55190/AT4G36630/AT4G26100/AT1G03900/AT2G01600/AT5G06140/AT4G38360/AT3G15980/AT4G28540/AT5G52210/AT2G18840/AT2G17380/AT2G33120/AT5G56160/AT3G61570/AT3G47810/AT3G07950/AT2G20760/AT5G12350/AT5G17060/AT2G34840/AT5G05987/AT1G20760/AT4G02080/AT1G06210/AT3G62560/AT4G30260/AT1G06400/AT1G14010/AT4G27540/AT1G16240/AT1G09580/AT1G68110/AT5G42570/AT1G08400/AT2G19470/AT1G24560/AT3G22845/AT3G47700/AT4G11380/AT3G18480/AT1G10290/AT5G01760/AT1G24460/AT1G13980/AT2G01920/AT5G16300/AT1G21630/AT1G21380/AT2G45200/AT5G64990/AT5G51430/AT5G01430/AT1G10730/AT5G05380/AT5G07880/AT1G62020/AT3G20290/AT4G23460/AT2G27900/AT5G28350/AT4G12120/AT5G02040/AT1G48790/AT1G50500/AT5G58060/AT2G46180/AT5G16830/AT4G02195/AT3G59920/AT3G19770/AT1G12360/AT3G12400/AT4G36490/AT2G06530/AT3G12070/AT4G11740/AT1G36980/AT4G29160/AT5G04920/AT3G58600/AT4G02650/AT2G21520/AT2G18240/AT3G15060/AT2G20790/AT3G61480/AT1G30630/AT2G17980/AT2G30330/AT2G44100/AT5G16880/AT1G79590/AT3G09900/AT4G32285/AT5G65950/AT5G01640/AT1G05360/AT3G60860/AT3G09530/AT3G10780/AT5G13150/AT3G01780/AT2G28650
GO:0009768	photosynthesis, light harvesting in photosystem I	23	-0.9388298329410498	-1.8996918424245905	2.546247431397261e-8	2.9168678908561955e-6	2.5268899947842994e-6	775	tags=83%, list=4%, signal=80%	AT1G29910/AT1G29920/AT2G40100/AT5G01530/AT1G45474/AT1G19150/AT1G29930/AT2G34420/AT3G61470/AT1G08380/AT1G15820/AT1G61520/AT5G54270/AT3G54890/AT3G47470/AT3G08940/AT2G05100/AT2G05070/AT4G10340
GO:0036294	cellular response to decreased oxygen levels	231	0.5922465282474099	1.8387929390088886	2.5189522536182932e-8	2.9168678908561955e-6	2.5268899947842994e-6	3163	tags=38%, list=15%, signal=33%	AT1G77120/AT5G54960/AT1G03220/AT3G46230/AT5G20830/AT4G34131/AT2G36800/AT2G15890/AT1G72900/AT1G01720/AT4G26270/AT3G49780/AT5G63790/AT3G10020/AT5G20230/AT2G36460/AT1G76600/AT3G46080/AT4G30280/AT5G05410/AT4G20860/AT3G03270/AT3G08720/AT1G26380/AT3G25250/AT5G63130/AT5G66650/AT5G59820/AT2G36220/AT5G62520/AT4G24230/AT1G34370/AT5G04340/AT2G32210/AT1G68620/AT5G12030/AT4G10250/AT4G17230/AT5G20250/AT3G23150/AT4G24160/AT5G42050/AT5G06320/AT5G47060/AT5G57510/AT2G46500/AT1G13360/AT1G07870/AT1G73010/AT1G69890/AT2G33590/AT1G10140/AT1G23710/AT3G02040/AT2G40140/AT5G12020/AT1G21550/AT5G27420/AT1G17290/AT4G32480/AT1G26410/AT5G20150/AT1G61340/AT5G35735/AT3G24500/AT1G55810/AT2G22500/AT1G07400/AT5G24590/AT3G04640/AT4G01360/AT3G52800/AT4G24110/AT5G03380/AT5G45630/AT1G27730/AT2G01180/AT3G23170/AT5G64905/AT5G19550/AT5G42380/AT1G78070/AT1G33055/AT1G19250/AT4G13395/AT5G54940/AT1G14540/AT1G30720
GO:0071453	cellular response to oxygen levels	231	0.5922465282474099	1.8387929390088886	2.5189522536182932e-8	2.9168678908561955e-6	2.5268899947842994e-6	3163	tags=38%, list=15%, signal=33%	AT1G77120/AT5G54960/AT1G03220/AT3G46230/AT5G20830/AT4G34131/AT2G36800/AT2G15890/AT1G72900/AT1G01720/AT4G26270/AT3G49780/AT5G63790/AT3G10020/AT5G20230/AT2G36460/AT1G76600/AT3G46080/AT4G30280/AT5G05410/AT4G20860/AT3G03270/AT3G08720/AT1G26380/AT3G25250/AT5G63130/AT5G66650/AT5G59820/AT2G36220/AT5G62520/AT4G24230/AT1G34370/AT5G04340/AT2G32210/AT1G68620/AT5G12030/AT4G10250/AT4G17230/AT5G20250/AT3G23150/AT4G24160/AT5G42050/AT5G06320/AT5G47060/AT5G57510/AT2G46500/AT1G13360/AT1G07870/AT1G73010/AT1G69890/AT2G33590/AT1G10140/AT1G23710/AT3G02040/AT2G40140/AT5G12020/AT1G21550/AT5G27420/AT1G17290/AT4G32480/AT1G26410/AT5G20150/AT1G61340/AT5G35735/AT3G24500/AT1G55810/AT2G22500/AT1G07400/AT5G24590/AT3G04640/AT4G01360/AT3G52800/AT4G24110/AT5G03380/AT5G45630/AT1G27730/AT2G01180/AT3G23170/AT5G64905/AT5G19550/AT5G42380/AT1G78070/AT1G33055/AT1G19250/AT4G13395/AT5G54940/AT1G14540/AT1G30720
GO:0001666	response to hypoxia	256	0.5846700815576091	1.8324363111345814	2.1251045844266823e-8	2.9168678908561955e-6	2.5268899947842994e-6	3163	tags=38%, list=15%, signal=33%	AT1G77120/AT5G54960/AT1G03220/AT3G46230/AT5G20830/AT4G34131/AT2G36800/AT2G15890/AT1G72900/AT1G53910/AT1G01720/AT4G26270/AT3G49780/AT5G25110/AT5G63790/AT3G10020/AT5G20230/AT1G72330/AT2G36460/AT1G76600/AT3G46080/AT4G30280/AT5G05410/AT4G20860/AT3G03270/AT3G08720/AT1G26380/AT3G25250/AT5G63130/AT5G66650/AT5G59820/AT2G36220/AT5G62520/AT4G24230/AT1G34370/AT5G04340/AT2G32210/AT4G27780/AT1G68620/AT5G12030/AT4G10250/AT4G17230/AT5G20250/AT3G23150/AT4G24160/AT5G42050/AT5G06320/AT5G47060/AT5G57510/AT2G46500/AT1G13360/AT1G07870/AT1G73010/AT1G69890/AT2G33590/AT1G10140/AT1G23710/AT3G02040/AT2G40140/AT3G14230/AT5G12020/AT1G21550/AT5G27420/AT1G17290/AT4G32480/AT1G26410/AT5G20150/AT1G61340/AT5G35735/AT4G20380/AT3G24500/AT1G55810/AT5G03730/AT2G22500/AT1G07400/AT5G24590/AT4G19230/AT3G04640/AT4G01360/AT3G52800/AT4G24110/AT5G03380/AT5G45630/AT1G27730/AT2G01180/AT3G23170/AT5G64905/AT5G19550/AT5G42380/AT1G78070/AT1G33055/AT1G19250/AT4G13395/AT5G54940/AT2G32700/AT3G16770/AT1G14540/AT1G30720
GO:0042254	ribosome biogenesis	312	-0.6047195576197698	-1.7624560380630179	2.419373283382945e-8	2.9168678908561955e-6	2.5268899947842994e-6	3662	tags=26%, list=18%, signal=22%	AT3G51270/AT1G45230/AT3G62870/AT1G60230/AT5G46580/AT3G07170/AT3G03920/AT4G21770/AT1G76050/AT3G52580/AT5G27700/AT5G18570/AT3G55510/AT5G15520/AT3G57150/AT2G40010/AT1G12244/AT1G70070/AT2G04270/AT3G02080/AT4G25630/AT5G18380/AT3G49990/AT5G10605/AT5G42540/AT3G24506/AT2G44120/AT2G20450/AT5G67510/AT3G52380/AT1G70200/AT1G25260/AT3G46630/AT3G12930/AT5G66470/AT1G80770/AT2G47610/AT5G20290/AT3G53890/AT5G52470/AT4G27090/AT1G10490/AT1G18080/AT5G47930/AT3G28900/AT3G17170/AT1G55140/AT5G26742/AT3G09200/AT1G07070/AT5G61170/AT1G26880/AT2G36160/AT1G69620/AT1G41880/AT3G25520/AT1G29430/AT1G72370/AT5G08180/AT3G49910/AT5G64140/AT3G02560/AT5G39740/AT3G61110/AT1G48630/AT1G60000/AT3G55750/AT4G34730/AT3G11510/AT2G32060/AT2G37220/AT1G01080/AT1G12800/AT2G33800/AT3G23700/AT3G52150/AT2G01250/AT5G16130/AT3G63140/AT4G24770/AT5G13650/AT1G09340
GO:0006511	ubiquitin-dependent protein catabolic process	370	0.5309479770273196	1.7152012900387061	2.328172294959532e-8	2.9168678908561955e-6	2.5268899947842994e-6	4519	tags=32%, list=22%, signal=26%	AT3G60300/AT1G77000/AT5G03240/AT5G56150/AT5G58290/AT3G53230/AT5G47430/AT1G19310/AT1G15130/AT4G03510/AT1G05890/AT1G68050/AT4G22820/AT4G02740/AT4G19700/AT5G01520/AT5G20000/AT3G53970/AT1G32340/AT2G36630/AT5G03340/AT5G63640/AT3G63000/AT1G21410/AT3G17000/AT4G25230/AT5G25350/AT5G01720/AT5G62540/AT2G22690/AT5G20910/AT1G65430/AT5G14250/AT3G08690/AT3G13672/AT4G29040/AT2G02760/AT2G38410/AT5G45360/AT1G04810/AT3G24760/AT4G34370/AT2G31510/AT3G24800/AT5G20620/AT2G33340/AT3G23280/AT2G12550/AT5G09630/AT4G24390/AT1G76920/AT3G11270/AT5G63750/AT5G53360/AT2G25740/AT4G04180/AT5G25560/AT4G12570/AT2G47970/AT3G50080/AT5G40580/AT3G05870/AT4G24820/AT5G59140/AT5G23540/AT3G54130/AT4G17410/AT4G22150/AT1G55860/AT4G12040/AT4G30940/AT5G56280/AT5G60250/AT2G05840/AT3G27430/AT3G09840/AT1G21760/AT5G51450/AT2G35635/AT4G38630/AT1G06210/AT3G61790/AT1G20140/AT3G55380/AT5G63760/AT4G14800/AT4G28470/AT1G09100/AT3G22630/AT2G06040/AT3G43750/AT5G02880/AT4G09300/AT5G01760/AT3G55070/AT1G21380/AT1G27840/AT5G04010/AT1G51710/AT5G64760/AT1G51350/AT5G53330/AT4G33210/AT2G20580/AT1G53850/AT3G48150/AT2G22010/AT4G03360/AT5G06460/AT3G53690/AT5G49930/AT2G30110/AT3G53120/AT1G16890/AT4G15475/AT3G51770/AT4G30640/AT5G01980/AT5G04920
GO:0019941	modification-dependent protein catabolic process	377	0.5181607779859589	1.6751806140200476	2.184966680628073e-8	2.9168678908561955e-6	2.5268899947842994e-6	4519	tags=32%, list=22%, signal=26%	AT3G60300/AT1G77000/AT5G03240/AT5G56150/AT5G58290/AT3G53230/AT5G47430/AT1G19310/AT1G15130/AT4G03510/AT1G05890/AT1G68050/AT4G22820/AT4G02740/AT4G19700/AT5G01520/AT5G20000/AT3G53970/AT1G32340/AT2G36630/AT5G03340/AT5G63640/AT3G63000/AT1G21410/AT3G17000/AT4G25230/AT5G25350/AT5G01720/AT5G62540/AT2G22690/AT5G20910/AT1G65430/AT5G14250/AT3G08690/AT3G13672/AT4G29040/AT2G02760/AT2G38410/AT5G45360/AT1G04810/AT3G24760/AT4G34370/AT2G31510/AT3G24800/AT5G20620/AT2G33340/AT3G23280/AT2G12550/AT5G09630/AT4G24390/AT1G76920/AT3G11270/AT5G63750/AT5G53360/AT2G25740/AT4G04180/AT5G25560/AT4G12570/AT2G47970/AT3G50080/AT5G40580/AT3G05870/AT4G24820/AT5G59140/AT5G63910/AT5G23540/AT3G54130/AT4G17410/AT4G22150/AT1G55860/AT4G12040/AT4G30940/AT5G56280/AT5G60250/AT2G05840/AT3G27430/AT3G09840/AT1G21760/AT5G51450/AT2G35635/AT4G38630/AT1G06210/AT3G61790/AT4G05320/AT1G20140/AT3G55380/AT5G63760/AT4G14800/AT4G28470/AT1G09100/AT3G22630/AT2G06040/AT3G43750/AT5G02880/AT4G09300/AT5G01760/AT3G55070/AT1G21380/AT1G27840/AT5G04010/AT1G51710/AT5G64760/AT1G51350/AT5G53330/AT4G33210/AT2G20580/AT1G53850/AT3G48150/AT2G22010/AT4G03360/AT5G06460/AT3G53690/AT5G49930/AT2G30110/AT3G53120/AT1G16890/AT4G15475/AT3G51770/AT4G30640/AT5G01980/AT5G04920
GO:0033014	tetrapyrrole biosynthetic process	74	-0.7800136958280254	-1.937643987781196	4.5836712569642226e-8	4.97448954308433e-6	4.309412810564147e-6	2255	tags=53%, list=11%, signal=47%	AT1G63970/AT2G26550/AT5G14220/AT4G27430/AT5G56860/AT2G20180/AT4G26150/AT5G18660/AT4G14690/AT5G58250/AT2G42810/AT1G03475/AT3G03710/AT5G08280/AT1G10657/AT3G14110/AT5G45930/AT4G01690/AT5G47110/AT3G48730/AT5G44190/AT1G03630/AT2G41680/AT1G08520/AT1G58290/AT2G40490/AT1G44446/AT2G30390/AT2G20570/AT3G59400/AT5G66190/AT4G18480/AT4G15560/AT4G17600/AT2G35260/AT1G74470/AT3G51820/AT3G56940/AT4G25080
