ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015979	photosynthesis	153/7171	227/21192	0.6740088105726872	1.99185534983355	10.744591971800729	3.685141193329594e-25	7.80512904747208e-22	5.601414613860983e-22	PSAO/CP24/OE23/LHCA3/NDF1/MET1/RBCS1A/LHCB3/MSP-1/PSAN/OHP/LHCA1/GAPA/cfbp1/CAB4/PPL1/EMB3119/LHCB4.2/LHCB2/PSBW/LHCB2/CURT1B/PSBQ/LHCB5/PGRL1A/PSBQ/LHCA2/LHB1B2/AB140/ATPC1/PETC/RBCS3B/RPOD1/HCF173/TROL/PSB27/SBPASE/NDF2/ATPD/ATCYP38/PSAG/ATKEA3/GAPB/LQY1/OEC33/MPH2/LHCA2*1/ATKEA1/PSBR/ATBCA1/ATLFNR1/PSBY/CRR3/CP12/ATFD2/Lhca5/NA/NDF4/HCF145/CRR1/LHCB4.1/LIL8/PGRL1B/ATHDA14/PnsL1/ADS3/HCF244/CRR23/FAD6/PSB29/PPD5/PPD1/PPD6/AtTLP18.3/PGK1/FTSH5/AtCEST/LHCB4.3/NA/LUT2/PnsL2/ATFRO7/AtProRS-Org/DEG2/FTSH1/AB165/DEG8/NDF6/PnsL3/AtPGR5/AB180/NA/NA/DEG1/OHP2/PYG7/AT-RSH3/NA/CLPP6/MEE51/ABI2/PHYLLO/PDE329/DEG13/ATNSI/FUM2/NA/DEG5/ABC4/NDF5/HCF136/BICAT1/NARA5/AMOS1/CGR2/NA/FTRB/ATTS02/RFC3/CPFTSY/CGR3/NA/ATGPT2/EDA3/ATAB2/DEG11/LPA1/NA/CRR31/PDE327/AtcFBP/SEP2/ATCNFU3/PGRL2/ATFER1/PGPP1/HCF243/LPA19/STZ/AtLHCB7/PPD7/PSBP-2/PAM68/ATPDI6/CP12-3/PUMPKIN/PQL3/PSBB/PSBI/VCCN2/PETA/NDHC/PSBH	153
GO:0019684	photosynthesis, light reaction	120/7171	165/21192	0.7272727272727273	2.1492628136053042	10.598606341276243	1.5465441522196115e-24	1.6377902572005687e-21	1.1753735556869047e-21	PSAO/CP24/OE23/LHCA3/NDF1/MET1/LHCB3/MSP-1/PSAN/OHP/LHCA1/cfbp1/CAB4/PPL1/LHCB4.2/LHCB2/PSBW/LHCB2/CURT1B/PSBQ/LHCB5/PGRL1A/PSBQ/LHCA2/LHB1B2/AB140/ATPC1/PETC/HCF173/TROL/PSB27/NDF2/ATPD/ATCYP38/PSAG/LQY1/OEC33/MPH2/LHCA2*1/PSBR/ATLFNR1/PSBY/CRR3/ATFD2/Lhca5/NA/NDF4/HCF145/CRR1/LHCB4.1/LIL8/PGRL1B/ATHDA14/PnsL1/ADS3/HCF244/CRR23/FAD6/PSB29/PPD5/PPD1/PPD6/AtTLP18.3/FTSH5/AtCEST/LHCB4.3/LUT2/PnsL2/ATFRO7/DEG2/FTSH1/AB165/DEG8/NDF6/PnsL3/AtPGR5/AB180/NA/NA/DEG1/OHP2/PYG7/NA/ABI2/PHYLLO/PDE329/DEG13/ATNSI/DEG5/ABC4/NDF5/HCF136/BICAT1/AMOS1/NA/ATTS02/CPFTSY/NA/EDA3/ATAB2/DEG11/LPA1/NA/CRR31/SEP2/ATCNFU3/PGRL2/HCF243/LPA19/AtLHCB7/PPD7/PAM68/ATPDI6/PUMPKIN/PQL3/PSBB/PSBI/VCCN2/PETA/PSBH	120
GO:0036294	cellular response to decreased oxygen levels	158/7171	243/21192	0.6502057613168725	1.9215117129866353	10.332334092694884	2.058212837448029e-23	1.0898236974287314e-20	7.82120878230251e-21	ADH/PDC2/CML10/SAP2/ATHSP17.4/ASUS1/UGT73B3/CP12/STMP5/DOGT1/CBP1/NA/TN7/ANAC002/PFK3/ATPSK3/ANAC102/HUP26/ATBCB/FBA6/NA/SGT1A/ZAT8/ATXTH18/DREB2/AtBBE22/HRU1/ATPK19/AtBBE3/AGC2/NA/AtNUDT7/cMCU/AtZAT12/NA/SRO5/ACBP3/AtSTOP1/AtZAT6/AthCYSTM6/NA/AT-HSP17.6A/ATHSP22.0/NA/SCL13/DIN10/ETR2/NA/NRP/NHL3/NA/NA/ATPI4K/NA/NA/AtPPsPase1/DUF569/AtCRL1/NA/NA/ATPME1/AtGDPD1/AtC3H29/HSP17.6II/ATWRKY70/NA/ATL31/AlaAT1/NA/AtBBE6/ATWRKY46/ATGSTF5/ATSPX1/AtFBS1/NA/ATMBF1C/IQM4/UCK3/TN8/ATPUMP5/HSP17.8/NA/ANAC091/NA/BPS3/NA/ATSERK4/HUP40/AtHMP43/AtS40-2/STZ/ATLPP1/HRM1/PROPEP3/SAUR78/AtCML37/HUP32/FMO1/DVL10/NA/PER4/AtBBE10/AtPDC1/DRAL/GAE1/ATHSP101/PLA/PCO3/AT-POX/AtDMR6/BBX29/PCO4/AtRAV1/AtXTH22/CYP81F2/CP12-3/MAP3K13/HSP15.7/ACR7/ATSUS4/NA/AtERF71/(AT)SRC2/NA/CML38/NA/NA/ATL56/TN3/RGAT1/HSP17.6A/AtRAV2/NA/ATGA2OX2/ATL14/HRA1/CBSX5/ATHSPRO2/AtGDPD2/NA/AT-HSFB2B/HUP29/NA/ZAT7/AAD6/NA/AtC3H47/TN9/AHB1/ATL23/CYP707A3/NA/AthCYSTM5/WIP5/ARI12/NA/ATHSFA2/NA	158
GO:0071453	cellular response to oxygen levels	158/7171	243/21192	0.6502057613168725	1.9215117129866353	10.332334092694884	2.058212837448029e-23	1.0898236974287314e-20	7.82120878230251e-21	ADH/PDC2/CML10/SAP2/ATHSP17.4/ASUS1/UGT73B3/CP12/STMP5/DOGT1/CBP1/NA/TN7/ANAC002/PFK3/ATPSK3/ANAC102/HUP26/ATBCB/FBA6/NA/SGT1A/ZAT8/ATXTH18/DREB2/AtBBE22/HRU1/ATPK19/AtBBE3/AGC2/NA/AtNUDT7/cMCU/AtZAT12/NA/SRO5/ACBP3/AtSTOP1/AtZAT6/AthCYSTM6/NA/AT-HSP17.6A/ATHSP22.0/NA/SCL13/DIN10/ETR2/NA/NRP/NHL3/NA/NA/ATPI4K/NA/NA/AtPPsPase1/DUF569/AtCRL1/NA/NA/ATPME1/AtGDPD1/AtC3H29/HSP17.6II/ATWRKY70/NA/ATL31/AlaAT1/NA/AtBBE6/ATWRKY46/ATGSTF5/ATSPX1/AtFBS1/NA/ATMBF1C/IQM4/UCK3/TN8/ATPUMP5/HSP17.8/NA/ANAC091/NA/BPS3/NA/ATSERK4/HUP40/AtHMP43/AtS40-2/STZ/ATLPP1/HRM1/PROPEP3/SAUR78/AtCML37/HUP32/FMO1/DVL10/NA/PER4/AtBBE10/AtPDC1/DRAL/GAE1/ATHSP101/PLA/PCO3/AT-POX/AtDMR6/BBX29/PCO4/AtRAV1/AtXTH22/CYP81F2/CP12-3/MAP3K13/HSP15.7/ACR7/ATSUS4/NA/AtERF71/(AT)SRC2/NA/CML38/NA/NA/ATL56/TN3/RGAT1/HSP17.6A/AtRAV2/NA/ATGA2OX2/ATL14/HRA1/CBSX5/ATHSPRO2/AtGDPD2/NA/AT-HSFB2B/HUP29/NA/ZAT7/AAD6/NA/AtC3H47/TN9/AHB1/ATL23/CYP707A3/NA/AthCYSTM5/WIP5/ARI12/NA/ATHSFA2/NA	158
GO:0071456	cellular response to hypoxia	156/7171	241/21192	0.6473029045643154	1.912933085138331	10.193449638714375	7.781550729382971e-23	3.296264888966627e-20	2.3655914217324234e-20	ADH/PDC2/CML10/SAP2/ATHSP17.4/ASUS1/UGT73B3/STMP5/DOGT1/CBP1/NA/TN7/ANAC002/PFK3/ATPSK3/ANAC102/HUP26/ATBCB/FBA6/NA/SGT1A/ZAT8/ATXTH18/DREB2/AtBBE22/HRU1/ATPK19/AtBBE3/AGC2/NA/AtNUDT7/cMCU/AtZAT12/NA/SRO5/ACBP3/AtSTOP1/AtZAT6/AthCYSTM6/NA/AT-HSP17.6A/ATHSP22.0/NA/SCL13/DIN10/ETR2/NA/NRP/NHL3/NA/NA/ATPI4K/NA/NA/AtPPsPase1/DUF569/AtCRL1/NA/NA/ATPME1/AtGDPD1/AtC3H29/HSP17.6II/ATWRKY70/NA/ATL31/AlaAT1/NA/AtBBE6/ATWRKY46/ATGSTF5/ATSPX1/AtFBS1/NA/ATMBF1C/IQM4/UCK3/TN8/ATPUMP5/HSP17.8/NA/ANAC091/NA/BPS3/NA/ATSERK4/HUP40/AtHMP43/AtS40-2/STZ/ATLPP1/HRM1/PROPEP3/SAUR78/AtCML37/HUP32/FMO1/DVL10/NA/PER4/AtBBE10/AtPDC1/DRAL/GAE1/ATHSP101/PLA/PCO3/AT-POX/AtDMR6/BBX29/PCO4/AtRAV1/AtXTH22/CYP81F2/MAP3K13/HSP15.7/ACR7/ATSUS4/NA/AtERF71/(AT)SRC2/NA/CML38/NA/NA/ATL56/TN3/RGAT1/HSP17.6A/AtRAV2/NA/ATGA2OX2/ATL14/HRA1/CBSX5/ATHSPRO2/AtGDPD2/NA/AT-HSFB2B/HUP29/NA/ZAT7/AAD6/NA/AtC3H47/TN9/AHB1/ATL23/CYP707A3/NA/AthCYSTM5/WIP5/ARI12/NA/ATHSFA2/NA	156
GO:0036293	response to decreased oxygen levels	171/7171	275/21192	0.6218181818181818	1.8376197056325352	9.998609955671109	4.443017022408045e-22	1.5683850089100398e-19	1.1255643123433712e-19	ADH/AOAT1/PDC2/CML10/SAP2/ATHSP17.4/ASUS1/UGT73B3/CP12/STMP5/DOGT1/CBP1/NA/TN7/ERF74/ANAC002/PFK3/ATPSK3/CIPK25/ANAC102/HUP26/ATBCB/ALAAT2/FBA6/NA/SGT1A/ZAT8/ATXTH18/DREB2/AtBBE22/HRU1/ATPK19/AtBBE3/AGC2/NA/AtNUDT7/cMCU/AtZAT12/NA/SRO5/ROPGAP4/ACBP3/AtSTOP1/AtZAT6/AthCYSTM6/ACBP2/NA/AT-HSP17.6A/ATHSP22.0/NA/SCL13/DIN10/ATPAD4/ETR2/NA/NRP/NHL3/NA/NA/ATPI4K/NA/NA/AtPPsPase1/DUF569/AtCRL1/NA/NA/ATPME1/AtGDPD1/AtC3H29/RAP2.2/ATEDS1/HSP17.6II/ATWRKY70/NA/ATL31/AlaAT1/NA/AtBBE6/ATWRKY46/ATGSTF5/ATSPX1/AtFBS1/NA/CHS4/AtFBA7/ATMBF1C/IQM4/UCK3/TN8/ATPUMP5/HSP17.8/NA/ANAC091/CYP707A1/NA/BPS3/NA/ATSERK4/HUP40/AtHMP43/AtS40-2/STZ/ATLPP1/HRM1/PROPEP3/SAUR78/AtCML37/HUP32/FMO1/DVL10/NA/ATEBP/PER4/AtBBE10/AtPDC1/DRAL/GAE1/ATHSP101/PLA/PCO3/AT-POX/AtDMR6/BBX29/PCO4/AtRAV1/AtXTH22/CYP81F2/CP12-3/MAP3K13/HSP15.7/ACR7/ATSUS4/NA/AtERF71/(AT)SRC2/NA/CML38/NA/NA/ATL56/TN3/RGAT1/HSP17.6A/AtRAV2/NA/ATGA2OX2/ATL14/HRA1/CBSX5/ATHSPRO2/AtGDPD2/NA/AT-HSFB2B/HUP29/NA/ZAT7/AAD6/NA/AtC3H47/TN9/AHB1/ATL23/CYP707A3/NA/AthCYSTM5/WIP5/ARI12/NA/ATHSFA2/NA	171
GO:0070482	response to oxygen levels	171/7171	276/21192	0.6195652173913043	1.830961663220823	9.937389320875155	7.80295520446574e-22	2.3609513032940625e-19	1.6943559872554178e-19	ADH/AOAT1/PDC2/CML10/SAP2/ATHSP17.4/ASUS1/UGT73B3/CP12/STMP5/DOGT1/CBP1/NA/TN7/ERF74/ANAC002/PFK3/ATPSK3/CIPK25/ANAC102/HUP26/ATBCB/ALAAT2/FBA6/NA/SGT1A/ZAT8/ATXTH18/DREB2/AtBBE22/HRU1/ATPK19/AtBBE3/AGC2/NA/AtNUDT7/cMCU/AtZAT12/NA/SRO5/ROPGAP4/ACBP3/AtSTOP1/AtZAT6/AthCYSTM6/ACBP2/NA/AT-HSP17.6A/ATHSP22.0/NA/SCL13/DIN10/ATPAD4/ETR2/NA/NRP/NHL3/NA/NA/ATPI4K/NA/NA/AtPPsPase1/DUF569/AtCRL1/NA/NA/ATPME1/AtGDPD1/AtC3H29/RAP2.2/ATEDS1/HSP17.6II/ATWRKY70/NA/ATL31/AlaAT1/NA/AtBBE6/ATWRKY46/ATGSTF5/ATSPX1/AtFBS1/NA/CHS4/AtFBA7/ATMBF1C/IQM4/UCK3/TN8/ATPUMP5/HSP17.8/NA/ANAC091/CYP707A1/NA/BPS3/NA/ATSERK4/HUP40/AtHMP43/AtS40-2/STZ/ATLPP1/HRM1/PROPEP3/SAUR78/AtCML37/HUP32/FMO1/DVL10/NA/ATEBP/PER4/AtBBE10/AtPDC1/DRAL/GAE1/ATHSP101/PLA/PCO3/AT-POX/AtDMR6/BBX29/PCO4/AtRAV1/AtXTH22/CYP81F2/CP12-3/MAP3K13/HSP15.7/ACR7/ATSUS4/NA/AtERF71/(AT)SRC2/NA/CML38/NA/NA/ATL56/TN3/RGAT1/HSP17.6A/AtRAV2/NA/ATGA2OX2/ATL14/HRA1/CBSX5/ATHSPRO2/AtGDPD2/NA/AT-HSFB2B/HUP29/NA/ZAT7/AAD6/NA/AtC3H47/TN9/AHB1/ATL23/CYP707A3/NA/AthCYSTM5/WIP5/ARI12/NA/ATHSFA2/NA	171
GO:0001666	response to hypoxia	168/7171	271/21192	0.6199261992619927	1.832028449973525	9.858428582810294	1.6320281627692672e-21	4.320794560931635e-19	3.1008535092616074e-19	ADH/AOAT1/PDC2/CML10/SAP2/ATHSP17.4/ASUS1/UGT73B3/STMP5/DOGT1/CBP1/NA/TN7/ERF74/ANAC002/PFK3/ATPSK3/CIPK25/ANAC102/HUP26/ATBCB/ALAAT2/FBA6/NA/SGT1A/ZAT8/ATXTH18/DREB2/AtBBE22/HRU1/ATPK19/AtBBE3/AGC2/NA/AtNUDT7/cMCU/AtZAT12/NA/SRO5/ACBP3/AtSTOP1/AtZAT6/AthCYSTM6/ACBP2/NA/AT-HSP17.6A/ATHSP22.0/NA/SCL13/DIN10/ATPAD4/ETR2/NA/NRP/NHL3/NA/NA/ATPI4K/NA/NA/AtPPsPase1/DUF569/AtCRL1/NA/NA/ATPME1/AtGDPD1/AtC3H29/RAP2.2/ATEDS1/HSP17.6II/ATWRKY70/NA/ATL31/AlaAT1/NA/AtBBE6/ATWRKY46/ATGSTF5/ATSPX1/AtFBS1/NA/CHS4/AtFBA7/ATMBF1C/IQM4/UCK3/TN8/ATPUMP5/HSP17.8/NA/ANAC091/CYP707A1/NA/BPS3/NA/ATSERK4/HUP40/AtHMP43/AtS40-2/STZ/ATLPP1/HRM1/PROPEP3/SAUR78/AtCML37/HUP32/FMO1/DVL10/NA/ATEBP/PER4/AtBBE10/AtPDC1/DRAL/GAE1/ATHSP101/PLA/PCO3/AT-POX/AtDMR6/BBX29/PCO4/AtRAV1/AtXTH22/CYP81F2/MAP3K13/HSP15.7/ACR7/ATSUS4/NA/AtERF71/(AT)SRC2/NA/CML38/NA/NA/ATL56/TN3/RGAT1/HSP17.6A/AtRAV2/NA/ATGA2OX2/ATL14/HRA1/CBSX5/ATHSPRO2/AtGDPD2/NA/AT-HSFB2B/HUP29/NA/ZAT7/AAD6/NA/AtC3H47/TN9/AHB1/ATL23/CYP707A3/NA/AthCYSTM5/WIP5/ARI12/NA/ATHSFA2/NA	168
GO:0009415	response to water	246/7171	475/21192	0.5178947368421053	1.5305013614778826	8.362689401101614	3.225004571985657e-16	7.589510759406246e-14	5.4466743882424415e-14	ADH/LEA7/ATHPR1/CRB/AtLrgB/LHCB2/LHCB2/RD19/ALDH7B4/ANAC019/AAO4/LTI65/ASUS1/ZIFL1/ATKEA1/ABA1/AT-GTL1/ATGRP7/PPRT1/AtLtpI-5/ATGSTU19/AtLEA4-5/AtBAM1/ATDI8/NF-YB2/LTP3/RD2/ATXDH1/AtCLO3/CP29C/HAI1/ANAC047/SNRK2-2/Rap2.6L/ESL1/ALDH10A9/PSB29/RDK1/AtLtpI-6/ABR/RD21/ATHB-7/ATCSP2/ATSUS3/NA/AtCEST/CBB3/AtPP2CF1/AKR4C9/ANAC072/ANAC055/DREB19/ATCTL1/ATSEH/AtTCTP1/AtLtpI-11/Raf43/NA/XTH6/NF-YB3/GLYI4/ATMGL/RGLG1/AZF2/LEA30/AtMTM1/AtPGR5/ALDH10A8/AT-PHH1/AtCOR47/EDL3/COR78/DREB2/AIF/SLAH3/AKR4C8/VI1/ATNCED3/ASPG1/ATCSLD5/ATCOR413-PM1/ALDH3/DREB2/ABI2/AtOCT4/UGT74E2/AtFKBP16-1/ACS2/AHK1/SNRK2-3/DEG13/ATGRP-3/AtMYB60/SMXL7/PP2CG1/LDAP2/RGLG2/ATPHS2/AtERF53/AHG3/AtPIP2;1/WSD6/AtLEA3/UBC32/ATCHIA/ATSTP13/AtDTX50/DRY2/NA/ATHVA22A/ATGSTU17/AtLEA5/ATBI-1/STMP4/PIP1;5/AHK4/AtGRP4/ATP8/ATMYB2/ATHVA22C/ERF113/ATWRKY54/ATGSK1/SINA2/AtATG18a/ATPAL1/PIP1;3/ERF58/ATCRY1/ATPK10/ATCIPK6/AtDRIP2/AtCRL1/SAP5/AtGolS1/AtCor6.6/GORK/ATDI21/ATHB-12/CuAO1/ATWRKY70/ATLOX2/CSI1/CV/ATMYB29/ATRH25/AtLEA14/LRK10L1.1/RS5/AtREM4.1/ATWRKY46/CuAOalpha3/CuAOalpha2/ATCIPK23/HIS4/XMPP/ATWRKY33/WSD1/AFP2/ATMBF1C/ALDH3H1/XERO1/AtEWR1/AtMYB124/MYBS2/ATMYB15/AtHsp90.2/ATPLC/AtRDUF2/FLOE1/AtCAPE9/ATPLAT1/AHK2/PDH2/BDG1/BRL1/AtHsp90-7/ATMEK1/LEA/BRL3/AIRP1/ATCBL9/ATCML9/ARR10/AtLSM5/PYR1/ATPCAP1/EGR2/STZ/ATBRI1/AtMDAR3/AtMYB88/PROSCOOP13/AtCML37/AtNPF6.3/ALX8/SMXL8/NA/NA/ATBG1/HIS1-3/TMT2/ERF55/ATBZIP12/ADR1/AtHSPR/CFM9/AT-POX/AtLEA4-2/ATCIPK14/ERD7/AtTYDC/STMP3/AtWIND1/AtERF71/CLE25/AtOCT5/UGT76C2/NF-YA5/ATCBL1/SPCH/CYP71B15/GSM1/ATCBF3/ABI5/AtYUC6/WSD7/LTI30/ATMYB44/AtLEA4-1/ZAT18/ADAP/ARL2/DAG2/BHLH100/AtMYB76/NA/SLG1/CYP707A3/PER3/AtPUB23/ATDR4/CBL5/PUB46/AIK1/NF-YB7	246
GO:0016053	organic acid biosynthetic process	253/7171	493/21192	0.513184584178499	1.5165817470242295	8.299729271794977	5.114628655303103e-16	9.847984992665428e-14	7.067486869146105e-14	KAT2/CML10/LKR/SHM1/AK2/AGT/DELTA-OAT/CYP20-3/ATGSKB6/ACP4/ATNFXL1/ABA1/AtFAD7/ATATP-PRT1/ATLOX3/GABA-T/AtFAD8/AtDAHP2/ATOPR2/CRR1/ATGSL1/AT-P5C1/AtCLO3/ATMS2/AAE16/ATCYSD2/ADS3/CER26/FAD6/LACS2/ACX1/GGP/SHM4/ATMTAN1/ATCIMS/AtCGS1/IGPS/ARATH;BSAS3;1/TyrA1/KR/NA/BADC1/ALF1/EMB3147/NA/NA/ALPHA-DOX1/BIO2/PKp3/AK-HSDH/L-GalDH/PKP-BETA1/MTHFR1/PLAI/ATHPT/CAC2/GAE6/AtFAD3/OASA2/AIM1/BAH1/ACS1/GLU2/PGDH/ENR1/FD-GOGAT/ACLB-1/AtNIT2/FLU/CBL/ATKAO2/FRK3/ATNCED3/LAG1/NA/AK-HSDH/ATNAS4/ABA3/ATIMD1/ATCB5-B/ADS4.2/FATA2/ACS2/ATTSB1/CAC3/PSAT1/THA2/ADS2/ACP2/AAE13/AtSSI2/NA/IPMI/AHASS2/ATIMD2/TSB3/KAS/NA/NA/NodGS/NA/TSB4/AAO3/ACP3/BADC2/3-PGDH/MTHFR2/AtPNP-R1/GME/ATTS02/PAS2/IMS2/ATPAD4/AAT/ATHB25/PIF1/BCCP/ATNAS3/ACLB-2/THA1/ATGPAT9/ADT1/NA/EDA36/ERF58/KCS1/ATMBAC2/GLN1;4/ASN2/ASN1/AtTAR2/KJC1/AtNCER1/ATCYSD1/AOS/NHL6/ATMTK/AT-HF/ATICE1/ATGPA1/ATR4/ATLOX2/JMT/ATHPA1/ATPMM/ATLOX1/ATNRP1/HO2/HMT3/ATGA3OX1/MIOX4/DIV2/HISN5A/NA/GPP/ATCS-C/ATH1/ASN3/AGD2/UDG4/ABA4/DIN9/NA/P5CS2/CYP79B3/MYBS2/ATSERAT2;2/AT-IE/DAPDC1/KAS1/AtSAT1/ATLOX4/LACS3/NA/ATSERAT3;2/ATTSC13/PSP/GLB1/ATDUF3/BDG1/AMT1/ACX5/ATGLN1;1/ATBIOF/DES1/BCAT6/AtDRTS2/ALX8/ADT5/KPHMT1/ADT3/FMO1/AOC3/AOC4/FRK1/FAD4/APG10/AtNCER2/ATKAO1/GAE1/ERF55/ATBZIP12/CYP77B1/PLA/FUS3/ADS1/PSAT2/AtATR1/ASB2/KCS8/AT2301/ADS4/ATSR/CER2/AK3/AtGulLO2/CBP60f/CLE25/ATICS1/WRI4/ELO3/AAD2/HISN7/ACS8/GSM1/NAGS2/ADS1.3/ATUGD1/ELO4/AtCM3/EDS5/ABCG27/ATLEUD1/ACC2/ADAP/DAG2/NA/AtMYB43/AAD3/NA/HIC/NA/CYP86B1/PROSCOOP12/ATNCED9/BCCP2/CKRC1/ATKS/ALD1/NA/AtMYB85/CYP703/ATGA20OX3	253
GO:0046394	carboxylic acid biosynthetic process	253/7171	493/21192	0.513184584178499	1.5165817470242295	8.299729271794977	5.114628655303103e-16	9.847984992665428e-14	7.067486869146105e-14	KAT2/CML10/LKR/SHM1/AK2/AGT/DELTA-OAT/CYP20-3/ATGSKB6/ACP4/ATNFXL1/ABA1/AtFAD7/ATATP-PRT1/ATLOX3/GABA-T/AtFAD8/AtDAHP2/ATOPR2/CRR1/ATGSL1/AT-P5C1/AtCLO3/ATMS2/AAE16/ATCYSD2/ADS3/CER26/FAD6/LACS2/ACX1/GGP/SHM4/ATMTAN1/ATCIMS/AtCGS1/IGPS/ARATH;BSAS3;1/TyrA1/KR/NA/BADC1/ALF1/EMB3147/NA/NA/ALPHA-DOX1/BIO2/PKp3/AK-HSDH/L-GalDH/PKP-BETA1/MTHFR1/PLAI/ATHPT/CAC2/GAE6/AtFAD3/OASA2/AIM1/BAH1/ACS1/GLU2/PGDH/ENR1/FD-GOGAT/ACLB-1/AtNIT2/FLU/CBL/ATKAO2/FRK3/ATNCED3/LAG1/NA/AK-HSDH/ATNAS4/ABA3/ATIMD1/ATCB5-B/ADS4.2/FATA2/ACS2/ATTSB1/CAC3/PSAT1/THA2/ADS2/ACP2/AAE13/AtSSI2/NA/IPMI/AHASS2/ATIMD2/TSB3/KAS/NA/NA/NodGS/NA/TSB4/AAO3/ACP3/BADC2/3-PGDH/MTHFR2/AtPNP-R1/GME/ATTS02/PAS2/IMS2/ATPAD4/AAT/ATHB25/PIF1/BCCP/ATNAS3/ACLB-2/THA1/ATGPAT9/ADT1/NA/EDA36/ERF58/KCS1/ATMBAC2/GLN1;4/ASN2/ASN1/AtTAR2/KJC1/AtNCER1/ATCYSD1/AOS/NHL6/ATMTK/AT-HF/ATICE1/ATGPA1/ATR4/ATLOX2/JMT/ATHPA1/ATPMM/ATLOX1/ATNRP1/HO2/HMT3/ATGA3OX1/MIOX4/DIV2/HISN5A/NA/GPP/ATCS-C/ATH1/ASN3/AGD2/UDG4/ABA4/DIN9/NA/P5CS2/CYP79B3/MYBS2/ATSERAT2;2/AT-IE/DAPDC1/KAS1/AtSAT1/ATLOX4/LACS3/NA/ATSERAT3;2/ATTSC13/PSP/GLB1/ATDUF3/BDG1/AMT1/ACX5/ATGLN1;1/ATBIOF/DES1/BCAT6/AtDRTS2/ALX8/ADT5/KPHMT1/ADT3/FMO1/AOC3/AOC4/FRK1/FAD4/APG10/AtNCER2/ATKAO1/GAE1/ERF55/ATBZIP12/CYP77B1/PLA/FUS3/ADS1/PSAT2/AtATR1/ASB2/KCS8/AT2301/ADS4/ATSR/CER2/AK3/AtGulLO2/CBP60f/CLE25/ATICS1/WRI4/ELO3/AAD2/HISN7/ACS8/GSM1/NAGS2/ADS1.3/ATUGD1/ELO4/AtCM3/EDS5/ABCG27/ATLEUD1/ACC2/ADAP/DAG2/NA/AtMYB43/AAD3/NA/HIC/NA/CYP86B1/PROSCOOP12/ATNCED9/BCCP2/CKRC1/ATKS/ALD1/NA/AtMYB85/CYP703/ATGA20OX3	253
