gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G44680	675.8277283869664	3.861562014750289	0.21131630085313113	18.273848250988213	1.3368245800293606e-74	2.7541259997764888e-70
AT3G57520	21195.17543237646	-2.4144630565877976	0.14530439738426296	-16.616586284052087	5.285798329181992e-62	5.4449008588903705e-58
AT3G16250	526.6951318832378	2.963491964292531	0.1823972689519004	16.24745798729052	2.3281971202623076e-59	1.598850569054802e-55
AT4G13500	712.5733937345591	2.4354188224951274	0.15405530499798736	15.808730653754148	2.7086949934828885e-56	1.3951133563933617e-52
AT2G33150	15438.902932623792	-1.9224927793517912	0.12252418958565067	-15.690720223110478	1.7505804429471653e-55	7.213091657119499e-52
AT3G08770	404.7160681092264	4.7370887614448804	0.302821722367217	15.64316035327362	3.699051720122595e-55	1.270131058966095e-51
AT3G55330	1760.4443369996216	1.8258933631646486	0.11902893436334974	15.339911870427198	4.137563128872616e-53	1.2177439368719093e-49
AT2G41090	10046.776247738522	1.8962623307910071	0.125429626223284	15.11813745992808	1.2297177627449699e-51	3.1668306685089836e-48
AT5G38420	14948.812619200691	3.201991847336964	0.21478800583663357	14.907684602148498	2.937639133002078e-50	6.724582379789869e-47
AT1G73920	2122.9644613095393	-1.795775382042038	0.12179360187830414	-14.744414766847704	3.3420430633087917e-49	6.885277119028772e-46
AT1G12900	19375.639312945044	1.81412942415512	0.1235954026533409	14.677968477867832	8.922376384315313e-49	1.6710799842696736e-45
AT5G22580	559.1037026778263	3.806996538334356	0.26090806140480083	14.59133350589644	3.1890263248615023e-48	5.475026695399722e-45
AT4G16140	270.26061125722026	4.182475471558608	0.2878170169595693	14.531717115760864	7.628395913744605e-48	1.208924712422818e-44
AT4G27410	2811.3054129870648	-3.0385163431486295	0.21049295453670866	-14.435240124004869	3.1056222438809157e-47	4.570144962031045e-44
AT2G35370	4208.303338518879	1.4008146127257246	0.09733123784976802	14.392240802360897	5.788946519884748e-47	7.950925080177705e-44
AT2G18300	1029.2875203867532	3.262859541354747	0.22812555101194665	14.302911387527455	2.09843715489627e-46	2.7020001415733098e-43
AT4G05180	14081.266094990557	1.7179559487955613	0.12030399447867313	14.28012391641835	2.910833984347577e-46	3.527588337972282e-43
AT3G51820	1939.49633269958	1.3785458066748353	0.09675201668449585	14.24823847517529	4.5973187071340166e-46	5.261886666909723e-43
AT1G79720	229.28573069536813	3.694084584668109	0.2596398572945235	14.22772536990617	6.1654758639323195e-46	6.685322828880718e-43
AT3G52720	1074.2308659586884	2.27792735850327	0.160999227108249	14.148685055312033	1.9028205235856458e-45	1.9600954213455734e-42
