gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G37770	925.9846520755361	1.3732426624254297	0.14967233905114274	9.17499299557412	4.516038215201529e-20	8.223253986060464e-16
AT2G27080	262.100961719172	2.548028385998591	0.2878821482075642	8.850942657831816	8.678314143435914e-19	7.901171111891228e-15
AT1G22190	2245.7143355472745	1.2979708911633432	0.15072054381755223	8.611771549434838	7.194009586061584e-18	2.619914411051908e-14
AT4G11280	1047.0402056945647	1.874114310833867	0.21616094380730685	8.669995040845656	4.321392070466271e-18	2.619914411051908e-14
AT4G27280	719.8047104693627	1.9394968411911693	0.22465432919621597	8.633249348590063	5.96332451115616e-18	2.619914411051908e-14
AT5G11070	606.6788164690767	1.135262128226901	0.13286773668666368	8.544302450971536	1.2931496366565528e-17	3.924493622313195e-14
AT2G15890	1086.6772955611266	2.144206462393247	0.255877951855862	8.37980156883972	5.3017008366676215e-17	1.3791238647840103e-13
AT4G37260	474.07998691390424	1.7803485780307573	0.2222181419821766	8.011715704893048	1.1311911773686794e-15	2.5747325185882853e-12
AT5G57560	3995.4028076295053	2.8943777494745917	0.36622095399386934	7.9033646707256535	2.714738653735537e-15	5.492519571763377e-12
AT4G25810	857.2655687225634	2.000923990170052	0.25867091903261513	7.735403723206167	1.030754788588833e-14	1.7062739950376416e-11
AT3G50060	499.0354611834048	1.862198835523983	0.24947215337935044	7.464555904531358	8.358102313394033e-14	1.268272375204933e-10
AT1G04770	684.9596730815497	1.4408253884550648	0.19382260719620345	7.4337323664031665	1.055754757792102e-13	1.4787875680489527e-10
AT5G52050	207.96283356496835	1.8279001017343663	0.25093438168385157	7.284374861143221	3.2316528414317585e-13	4.203226184973635e-10
AT1G76600	1021.6320481887125	1.5316186279673658	0.21529697907516673	7.113981043982188	1.1274264297375563e-12	1.3686205239394109e-9
AT1G36370	1170.2301764941985	1.152562788876853	0.1629193350592514	7.074438331445943	1.5005527708813374e-12	1.707722837811142e-9
AT1G33760	45.142844037992624	3.851437007882962	0.5465330262226281	7.0470343475896255	1.8277121624397133e-12	1.9576947509332197e-9
AT2G38530	989.9573069542294	1.2907510126973392	0.18739872040907574	6.887725860025819	5.669132282311156e-12	5.734957207144658e-9
AT1G32920	1093.4236254346197	1.3042765002897652	0.19116005972859648	6.822955078281201	8.918655156905589e-12	8.54735746063652e-9
AT5G45340	345.40409431649994	2.941178608799846	0.43163570028850634	6.814029995280638	9.490190393672696e-12	8.640343843919307e-9
AT4G01950	686.8160853271182	1.2773164182881478	0.18901284606291935	6.7578286073897305	1.400750874274472e-11	1.2145844128411361e-8
AT3G49790	533.7479579992836	1.0907237669514351	0.16313194661079178	6.686144495987273	2.2912680006833175e-11	1.8964408647473875e-8
AT2G18700	2002.9900924753595	1.1682887535429256	0.1760686872552131	6.635414688186326	3.235914845024853e-11	2.5618597136111977e-8
AT1G02660	746.3369201377946	1.6256988217696147	0.24723213802212574	6.575596663020099	4.845844979208201e-11	3.676582967766756e-8
AT2G41640	611.1404216541824	1.5493323706413828	0.23832385059951536	6.500953919399847	7.981227910406972e-11	5.589622270023098e-8
AT1G70290	3278.6889815920185	1.118650544199905	0.1724370906937789	6.487296553770164	8.73902247765828e-11	5.893661492432578e-8
AT4G20420	27.570342687927223	-6.642329579144251	1.0326370671646454	-6.432395069239933	1.2560874311413727e-10	8.168605726304734e-8
AT1G35140	636.5437692576907	3.646047417848861	0.5679244496983689	6.419951491409321	1.3631777606289893e-10	8.559346152859746e-8
AT1G76590	573.6799203857229	1.3773096917513465	0.21814355580428	6.313776662681152	2.7230684086288447e-10	1.5994952468620203e-7
AT2G32210	132.7041956912071	1.813494195551775	0.2905578444997001	6.24142224992878	4.336099587009289e-10	2.3926071933288527e-7
AT3G59080	318.01955154939776	1.3524234578847414	0.21811306081946913	6.200561547316665	5.626205213574231e-10	3.013163845116858e-7
AT4G29780	414.3140210948337	2.2862591729224637	0.36955275892232015	6.186556906217103	6.149249270878815e-10	3.199190856383781e-7
AT1G21910	377.7134229878959	3.073293270151815	0.5022905390623869	6.118556952891557	9.44265345894131e-10	4.776146578718398e-7
AT2G34600	82.44142336442358	2.445563503234657	0.4066889234632931	6.013351635959636	1.8172625074400106e-9	8.272633249493789e-7
AT3G62420	2258.611836814567	1.0806337045725538	0.17993233827903363	6.005778143652753	1.9041642094342206e-9	8.45681124136286e-7
AT3G04640	397.34425180511965	1.7325326517893365	0.29155191053419316	5.94245000355141	2.8079331089715314e-9	1.1620375904832412e-6
AT3G55840	113.48109800908593	1.4861660426204404	0.25278713936341257	5.879120458275744	4.124521511416131e-9	1.6326828739429635e-6
AT1G18300	324.68341021291036	1.2100938708918674	0.20599449138279238	5.8743991781954605	4.2437966146912715e-9	1.6441551607853906e-6
AT1G74930	52.91266213432653	2.790014058289518	0.4765921332502957	5.854091714149767	4.796239093157219e-9	1.746694352945996e-6
AT2G23810	7031.581582289321	1.002033970738499	0.17115929037446798	5.854394281176417	4.7875162815059605e-9	1.746694352945996e-6
AT4G25470	27.842553739695877	2.1580865736190122	0.36848091412873196	5.856711951341572	4.721209430329418e-9	1.746694352945996e-6
AT1G13260	782.864367346344	1.3384131792656624	0.23081858453365753	5.798550328907755	6.689062890688279e-9	2.298134833519677e-6
AT4G34410	70.16833452436768	3.8273446406790614	0.6665528521981537	5.741997244565481	9.356634513318875e-9	3.155091812093026e-6
AT5G61590	1118.3548496301453	1.1494694089844502	0.20175380521621028	5.697386513987266	1.2165790939001494e-8	3.955837271576396e-6
AT1G66160	253.31162315672228	1.5022068693618298	0.26419007800194927	5.686083598305104	1.299857830407133e-8	4.152475655067278e-6
AT5G61600	729.9822407691755	2.08910249534777	0.37434225821437866	5.58072846307237	2.3951331663403398e-8	7.2688299709818745e-6
AT3G48390	180.41392442966523	1.2576068093185937	0.22613145141731317	5.56139714947369	2.676233843548162e-8	7.73516540589976e-6
AT5G67480	1971.6533931261374	1.1264543795926938	0.20300943857170242	5.548778359853613	2.8767258645626887e-8	8.058815579664921e-6
AT2G28120	425.64819206659007	1.011108916907403	0.1821454047763369	5.551108567075745	2.8386371851335788e-8	8.058815579664921e-6
AT4G32480	632.4137484371946	1.1696536839895988	0.21205925906947823	5.515692590467735	3.474090606515476e-8	9.584805432430349e-6
AT1G77640	45.038720004162045	3.1506743266469908	0.5732525201919794	5.496136895467718	3.882011972966353e-8	1.0550381494887213e-5
AT3G48520	153.76788195593005	2.833909418784821	0.5247158732766245	5.4008456063817505	6.632749368971438e-8	1.703917172280146e-5
